"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-Inf","-3.91940893997417","-55.8373822638562","-Inf","-147.095395973458","-461.365457793946","-517.156018959905","-14.099790203106","-7.63889047179625","-30.3126521476582","-16.5968990786957"
"1st Qu.","-Inf","-3.52722865434747","-49.6521041332682","-Inf","-130.122512152281","-374.642858302807","-407.827483649079","-11.2036251841034","-6.21311337543691","-26.7571276778937","-14.5950388018613"
"Median","-Inf","-3.3562881503599","-46.76848723354","-Inf","-122.025216873093","-360.425194059334","-360.961084443437","-10.201158262156","-5.89666726074319","-25.0316614880719","-13.8471323252676"
"Mean","-Inf","-3.34262869556242","-46.9965748395546","-Inf","-122.421491285089","-357.753846554423","-373.32951788482","-10.2908675353981","-5.99161788665759","-25.269696143446","-14.0647404345899"
"3rd Qu.","-Inf","-3.18668397722943","-43.9806113014466","-Inf","-112.258610957983","-334.626005411418","-338.340934503174","-9.46946436798512","-5.74663614656451","-23.1384807238087","-13.4051987440902"
"Max.","-Inf","-2.64930345296057","-36.9954902815742","-Inf","-104.063043584261","-270.140811167274","-286.132425141914","-7.34643041425588","-5.25711885109594","-20.035917161071","-12.7153813263216"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
