"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","0.962941388847587","0.952658987597525","0.891419457903693","0.970265106194969","0.744558071940587","0.91607583612845","0.921878580945441","0.543040850120264","0.196692133791353","0.312076809508298","0.839489515038122"
"1st Qu.","0.964318963523907","0.961531517394969","0.896877608723107","0.973223036049855","0.772424449145762","0.922673711998436","0.927052407834917","0.567561707898135","0.255344564921637","0.375071503329525","0.854211457417829"
"Median","0.966579262222187","0.963456577144974","0.902324745957839","0.974697039116278","0.787547385204417","0.92596889378237","0.929377031258376","0.602629098712892","0.29412775893938","0.401694484973852","0.859733732167044"
"Mean","0.966532006894273","0.963272691678764","0.905034045385817","0.974691168997672","0.783576791077229","0.925635614826201","0.932464216604189","0.603705679730736","0.297977700215993","0.426459457332722","0.861052411777579"
"3rd Qu.","0.968483872484498","0.964739777662363","0.91180790897711","0.976123834743707","0.793098644020923","0.928943730380926","0.935953512408595","0.629814341231415","0.339647042806748","0.48239890218848","0.870605376019336"
"Max.","0.971076244439286","0.969486670036454","0.926875996603642","0.979147482205604","0.814960469982221","0.932740914463979","0.951201774572382","0.711739677347135","0.425873378923303","0.56941305015271","0.8769161706279"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
