"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-2.91650379251241","0.487672273340798","-7.17245467711469","-2.35498811629808","-2.82550144168815","-2.05020020044071","-1.76828058834608","-8.84111411844962","-2.41914314285385","-6.31647955379933","-3.31221033406504"
"1st Qu.","-2.14185050838165","0.546131565424147","-6.16998246306587","-2.08075848600416","-2.48365218970755","-1.77501989832428","-1.49499594993694","-6.79224804052294","-2.10865900435944","-5.66688121264739","-2.83935997891832"
"Median","-1.97567131800115","0.563859493156227","-5.90317112189886","-1.90361572605854","-2.30440994915307","-1.69328347692664","-1.42610893284679","-6.42251942775927","-1.91263140684445","-5.32241919721283","-2.74230962212132"
"Mean","-2.00037597630636","0.567641399352436","-5.88748884554267","-1.94638201923154","-2.31196738108824","-1.69767441369239","-1.43736697891283","-6.44886031517307","-1.95937276168005","-5.08077786651382","-2.70400664935235"
"3rd Qu.","-1.84288661531199","0.586242166459099","-5.61682081011533","-1.78654722365311","-2.11732340601551","-1.58905179400824","-1.38712419811057","-6.03362628022093","-1.80544350906736","-4.92051161910711","-2.47557618008194"
"Max.","-1.21991536973919","0.652261710974049","-5.196023185894","-1.70610575064134","-1.88869147679103","-1.4880202986826","-1.13899143449336","-5.21542727257485","-1.57033085982787","-2.95457123345355","-1.94490968216578"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
