"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-3200.15462381814","-5.32748180408845","-14.5091505393254","-1631.6091783347","-42.4648929854197","-74.318381619735","-23.6209347063288","-17.2284039322637","-0.499130283160196","-13.3452633041408","-0.567665499887197"
"1st Qu.","-375.315822069277","-4.60255676975054","-12.7174406017964","-166.731280106634","-37.848787603836","-62.3958249532654","-19.3300804574626","-12.3790370356805","-0.361367545076591","-11.7940064803346","-0.48689933976343"
"Median","-333.626272785718","-4.30301941272956","-11.8890672477373","-155.576682077637","-35.7781952525094","-58.841520337468","-17.3347743515655","-11.2593019281014","-0.322775658850843","-10.9516184099579","-0.385168844755207"
"Mean","-869.911646779504","-4.35986611738188","-12.0622820525282","-429.482882109508","-36.3049837733139","-58.583498170575","-17.6837712349305","-11.584604100998","-0.329880383796859","-10.7949219070127","-0.379928309539788"
"3rd Qu.","-317.496397925413","-4.03807376880176","-11.2076867114819","-144.305434577867","-34.4246142171283","-53.5588141290042","-16.0772583194744","-10.6361424742901","-0.295453111698169","-9.85698955027594","-0.294113097834709"
"Max.","-298.365024336469","-3.52358425000885","-10.3226694137849","-134.009553194697","-30.9458715467548","-43.4103196188206","-13.7979992590972","-8.06684534866486","-0.215464839513311","-7.77608431162686","-0.172860002223695"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
