"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","0.573426917039852","-0.431184599356751","-20.2315394027402","0.378029828496939","-9.5327048777841","-2.73878165262634","-0.616018880589315","-171.096083497741","-41.6806776560327","-105.278221384705","-69.0475701884529"
"1st Qu.","0.723297451400379","0.0051990306196939","-12.8225558775986","0.575287192745161","-4.20969819676741","-1.04828361214995","-0.197964892779752","-85.0627673468235","-29.4919393028869","-25.9508061064992","-55.9196139999007"
"Median","0.759620711176925","0.154843605067846","-10.4960070458753","0.648615969487726","-3.39617384925275","-0.87298737006563","-0.00123294371127786","-75.1538863139866","-23.3053528195523","-21.3956343557831","-47.1860354815509"
"Mean","0.750408895593902","0.170084604783196","-11.6529903461538","0.637042892983381","-3.87211939837452","-0.947173013370864","-0.0282875847365465","-75.8851919042538","-25.9709510456461","-24.8918871775462","-48.9647396084894"
"3rd Qu.","0.801060089771215","0.33941563053508","-8.83384496510238","0.710897584379369","-3.10114186385109","-0.736409688513526","0.154298666915272","-62.4425264961111","-20.5798295837117","-16.0318778454077","-41.8293801614721"
"Max.","0.839177085395461","0.579328022131448","-6.5300837656443","0.842953810310397","-2.35276367347167","-0.179350823939615","0.427492433639751","-44.4035736323464","-14.7530235364641","-6.87023282326693","-37.1799937240778"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
