"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-Inf","-13.4967966266079","-131.244025579684","-Inf","-131.987996832525","-365.007978944662","-261.971623458232","-32.1866949337839","-20.3609217060009","-106.143420045579","-4.81811789856395"
"1st Qu.","-Inf","-9.89641565150353","-80.2111112352362","-Inf","-113.555412191141","-293.609217024526","-166.9155097241","-22.8769563104023","-14.9437223511452","-82.8938565593111","-3.7795381335297"
"Median","-Inf","-8.50502418958225","-70.6626480719219","-Inf","-103.703367272888","-259.006635983303","-150.121906224043","-17.1494838507923","-13.9159946577547","-70.9131051051787","-3.47186175930517"
"Mean","-Inf","-8.5424804051923","-73.882511828514","-Inf","-103.767380858967","-263.584346773604","-153.156376478841","-19.1968729460937","-12.7873798976753","-68.4877150661588","-3.49238699852496"
"3rd Qu.","-Inf","-6.85811982005752","-64.2115913377897","-Inf","-91.6663801790047","-227.813017134603","-131.351971138039","-15.7349505613256","-12.7048467343746","-52.0009971112815","-3.20663384972492"
"Max.","-Inf","-3.99472991253547","-50.7127855915556","-Inf","-80.9463747177752","-196.81842452437","-109.05128130987","-14.3268992568521","-3.78709496979891","-32.8983846690222","-2.56080781466364"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
