"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-Inf","-0.760258813375691","-26.2308175740272","-Inf","-85.7513996438206","-377.806628605082","-179.01979914013","-3.12751626551646","-3.38648287652397","-21.3465723301541","-48.4607967598789"
"1st Qu.","-Inf","-0.646748200295352","-24.1347730981498","-Inf","-76.5664711196478","-318.5688922558","-157.136642437878","-2.79521908210973","-3.2274732352749","-19.0511458471094","-43.2989226617725"
"Median","-Inf","-0.577618624692533","-22.1244732943204","-Inf","-72.3592574817453","-305.649599105701","-144.333501886516","-2.69511831998007","-3.09971263512016","-18.1399287153563","-41.3372211800827"
"Mean","-Inf","-0.585278534802747","-22.5348037768259","-Inf","-72.3185495653905","-300.670646800776","-146.849522826184","-2.68858858569953","-3.06496036997356","-18.3173882495525","-41.5069315206567"
"3rd Qu.","-Inf","-0.527379397859079","-21.4732411458907","-Inf","-68.1633654161074","-283.837668383346","-136.282652121632","-2.55489497516514","-2.94532083358231","-17.3566173720415","-39.8693694065067"
"Max.","-Inf","-0.3869301925671","-18.6696236213303","-Inf","-60.4465673066378","-223.662804511264","-118.079533726712","-2.26136524114922","-2.57825341558634","-15.3222924683354","-37.0132927953121"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
