"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-79113837.2949694","-9172.14933698452","-2312.82321412883","-1083590.70327843","-4706.7798504438","-157383.233861296","-436530.721418049","-7720.75714042201","-316.555888950514","-5202.03454186789","-86.2757377495181"
"1st Qu.","-61594413.8111265","-6387.89966459187","-2022.36290202025","-805697.024194926","-2838.36042608687","-130772.82874156","-242375.558518506","-6565.60097458193","-269.175988846088","-3884.61024271042","-58.9660807512783"
"Median","-55631601.3752494","-5509.65249519315","-1866.93274901282","-761494.886115157","-2494.92392998099","-119788.812708674","-223225.558826916","-5659.28095085204","-243.247763796005","-3661.53701013764","-54.2486835387753"
"Mean","-56993511.4177281","-5754.30857830941","-1893.1039813908","-755264.141617072","-2713.18816984351","-121537.401489922","-239710.282539409","-5769.97495959019","-241.401666466039","-3715.32285369279","-55.059242379694"
"3rd Qu.","-51579360.8191303","-4793.54377922426","-1762.59516305093","-672694.693144955","-2228.99850512348","-108003.417603012","-198476.040713948","-5159.75132296772","-213.041655015213","-3391.45628559246","-50.7334296321482"
"Max.","-32557653.8593357","-4210.51899037734","-1544.78626191327","-510853.987580498","-1973.08119169713","-91170.1265775869","-173973.380591733","-3868.66525480666","-158.476063862434","-2647.19669068058","-38.7137420248437"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
