"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-25603.6611347073","-3.85712240230913","-55.47496855401","-2465.0174506486","-5.260490786327","-941.391258195244","-2886.68268369535","-677.035798427681","-1.44688744605798","-8719.99315032056","-2.85648162992641"
"1st Qu.","-21539.8184347577","-3.51957933870644","-42.5430781931939","-2196.0182946963","-4.00116037943229","-837.70291437693","-2597.51959818194","-506.812908737727","-1.32359611746422","-7886.7840863375","-2.43900150506156"
"Median","-20017.4793235969","-3.41446809705824","-40.022753434599","-2116.58192797612","-3.64208754187433","-740.117065778078","-2329.33595643557","-448.375465536987","-1.1669748291426","-7345.58700800276","-2.33741332164825"
"Mean","-20406.5193720632","-3.42498222229227","-40.5250231160586","-2062.98261411805","-3.68586575068488","-764.939560013601","-2403.91846485401","-469.820551556334","-1.18382133557756","-7371.73815725995","-2.33176785772933"
"3rd Qu.","-18939.2796437379","-3.31058991421004","-36.951204536985","-1923.1870256413","-3.2807590744097","-700.534521977989","-2244.06356943897","-408.324703314876","-1.10095375137884","-6684.54641510596","-2.20060840740074"
"Max.","-17942.1626835242","-3.01151894196569","-31.8587043795948","-1735.86962280703","-2.78106367107393","-547.959191924919","-2101.21331851976","-305.490734694526","-0.834124048719131","-5914.99001882776","-2.00892976918932"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
