"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-6.31729141497434","-2253.41641919248","-919.938753521748","-8.43387121147159","-1900.86141352386","-79.9900536896576","-379.081129586248","-28.4064944565061","-19.2778245090245","-1773.93868816623","-107.915400826073"
"1st Qu.","-5.7770806321843","-1879.11812772321","-797.24035712762","-7.59785320361962","-1273.8349814636","-71.8328581019898","-299.933346720264","-22.1346295544488","-14.758996834872","-1140.82678480427","-93.6896369397959"
"Median","-5.4673936397338","-1770.61055244239","-752.150130212899","-7.34466027738531","-1122.48648446603","-67.7367969069597","-277.718895142249","-19.0440521783903","-13.7573128766032","-1027.14682342143","-81.464827252761"
"Mean","-5.50343331867016","-1809.74197093892","-750.531492469426","-7.29150958687398","-1220.98677190133","-67.7201203915131","-283.349227459122","-19.5580955240592","-13.5243139277287","-1055.50867933017","-85.2650875186698"
"3rd Qu.","-5.34002738824052","-1643.97965355522","-698.256120557296","-7.02647531579181","-1074.85972098502","-63.7505017786224","-255.881991863394","-16.6154838585465","-11.5538210448702","-912.518664773733","-76.8777339395949"
"Max.","-4.58890314793905","-1437.77906160604","-625.398263094823","-6.35980502743987","-932.277741980655","-55.4318060903127","-217.858409115177","-13.2623009294784","-10.0471955036514","-730.437638210494","-70.767942508293"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
