"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-20255858.4239639","-4402.00916342944","-675.312348261339","-41500093.0298507","-360.961448279386","-447.556903534211","-1946.59492805447","-89.8992435380457","-22.5863686634887","-217.45310781235","-94.4736814383536"
"1st Qu.","-39814.6266862778","-2299.30476687734","-584.245356963805","-26164.6267071101","-241.110737939035","-352.7834604532","-1316.73474633992","-69.196690777101","-16.2769396548661","-103.776965949268","-74.1381030305707"
"Median","-36810.6360349257","-2047.45648950575","-504.575623831996","-25122.2964752005","-229.517635481859","-329.983831414777","-1083.14251571735","-61.164893200127","-14.4198832179472","-75.5317645285294","-68.9479581596981"
"Mean","-2064349.55957071","-2321.11033105227","-525.094024614997","-4162189.47312975","-243.137248273439","-339.12399655017","-1150.09141777496","-59.5038756415656","-14.7788792108621","-94.8657882561615","-69.8364572805373"
"3rd Qu.","-34630.8975710127","-1928.4416498699","-478.423467406302","-23929.3629622122","-219.651178949328","-308.60902409938","-908.045494320747","-47.9306573973181","-12.8843045800469","-62.2762622562823","-64.236881633059"
"Max.","-21329.0245698764","-1596.86826174847","-379.055115810736","-12010.1768814137","-180.337596536322","-250.421990225116","-819.606394271398","-33.972849257123","-10.9826544825765","-44.9635983662604","-53.2834590936326"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
