"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-7777.55136568274","-1.71032468492593","-6.64304668441465","-48.6549147105126","-37.2433439028593","-14.2649847941586","-5815.72138718868","-20.6222511307434","-26.624857907111","-10856.8782199288","-3.65546280958718"
"1st Qu.","-6917.14359897737","-1.38854353335016","-5.79428322916525","-37.2977452475506","-31.7052339585778","-11.7308631692403","-3725.49263104042","-14.2407671826703","-22.1822483024505","-9340.85815925963","-2.87748386414674"
"Median","-6183.74993013116","-1.17257797046042","-5.38082104658618","-33.1513261937886","-27.6315217041575","-10.1415699294054","-3352.62388760192","-11.7477592636553","-21.2219523664262","-8152.68503031645","-2.7524339035967"
"Mean","-6245.8317522347","-1.00681671829939","-5.42355066400513","-34.4924213734175","-28.5411683322255","-10.2153830802367","-3541.20763327227","-12.9981744438104","-17.6449751415075","-7827.52690598972","-2.72211446893834"
"3rd Qu.","-5479.55395089114","-0.604182652410475","-4.92786709440912","-30.9100251549015","-24.9486284994405","-9.04399793020454","-3176.91557498868","-10.8027562319234","-18.8674853113328","-6733.76657773746","-2.41807720319282"
"Max.","-4955.68649346448","-0.3578395866474","-4.36541364234334","-25.8921835112486","-22.3844029991979","-6.65864418192711","-2370.66402489446","-9.23954534100759","-1.42218048774014","-4326.53488331121","-2.15609877643478"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
