"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-93562.6995239183","-8.42514459651438","-434.030988290959","-27493.6081194174","-36.5259827212693","-1656.59578801962","-10762.6406890557","-318.697391573902","-12.5297948534203","-4165.67502798508","-2.50367796944051"
"1st Qu.","-83774.6380271095","-7.50605990602448","-391.525823597257","-21747.3136701969","-33.7876742385953","-1576.24801147163","-9637.54875044573","-276.000077593445","-10.8645289404374","-3618.15942985273","-2.3098085883099"
"Median","-79034.0187124155","-7.31154710666888","-362.849610274443","-19677.1550061496","-31.4825943178558","-1483.4633487147","-9045.58613947788","-247.494026030436","-9.78788250783352","-3098.07767506354","-2.20102678306467"
"Mean","-79853.6923148982","-7.22006197632848","-364.353984780966","-20224.2024406349","-31.947802006382","-1490.58319157542","-9250.56174935974","-253.9736225645","-9.97821312798362","-3132.15987707871","-2.21984941702106"
"3rd Qu.","-74520.7945588211","-6.86332267154223","-334.010363758151","-18861.6862833598","-30.1788218999454","-1416.42849995524","-8730.70347042581","-229.699017617779","-9.17801397121739","-2677.16926447329","-2.11701204474645"
"Max.","-69938.5689042692","-6.08242978845422","-271.965824345719","-16686.0771640294","-29.0285060656709","-1272.67378649918","-8365.77626500837","-195.117202341524","-5.8789538170583","-2279.57621523454","-1.99449995093869"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
