UNH ID #,Sample Name,DateTime,NPOC (mg C/L),TDN (mg N/L),Cl (mg Cl/L),NO3 (mg N/L),SO4 (mg S/L),Abs254,SUVA,Na (mg Na/L),K (mg K/L),Mg (mg Mg/L),Ca (mg Ca/L),Closed Cell pH,TSS (mg/L),NH4 (ug N/L),DON mg/L,PO4 (ug P/L),CO2ppm,Chla_Conc
146275,WHB01,8/2/2016 11:08,3.16,0.86,56.39,0.70,5.05,0.12,3.69,33.28,1.52,8.61,19.70,7.75,,12.22,0.15,11.93,1141.12,
146276,DCF03,8/2/2016 11:39,6.76,0.41,9.03,0.11,0.87,0.31,4.59,6.97,0.62,1.07,3.88,6.90,,2.50,0.29,12.46,1233.44,
146355,LMP72,8/9/2016 10:22,5.74,0.40,47.00,0.11,1.99,0.19,3.37,24.52,2.22,2.65,15.23,7.19,3.81,12.70,0.28,9.97,1835.71,
146356,WHB01,8/9/2016 10:59,1.83,1.18,56.74,1.12,4.10,0.06,3.54,30.06,1.49,7.32,26.43,7.78,,2.50,0.06,13.32,827.16,
146369,DCF03,8/9/2016 14:22,5.94,0.43,14.16,0.16,0.79,0.23,3.94,9.61,0.83,1.22,4.47,,,9.04,0.26,13.51,2535.97,
146378,BEF,8/10/2016 11:00,0.91,,3.68,0.06,0.68,0.02,2.62,2.28,0.67,0.32,3.34,6.75,,2.50,,,,
146379,HBF,8/10/2016 15:45,1.86,0.11,0.71,0.02,1.43,0.06,3.22,2.46,0.27,0.57,1.87,6.41,,2.50,0.09,,,
146380,HBF_Air,8/10/2016 15:45,,,,,,,,,,,,,,,,,,
146519,LMP72,8/16/2016 9:10,4.56,0.36,41.00,0.05,1.83,0.17,3.82,24.52,1.93,2.32,11.66,,1.03,,,7.80,1495.68,
146520,WHB01,8/16/2016 10:08,1.01,1.32,32.30,,2.85,0.04,3.81,,0.81,4.77,14.97,,,7.16,0.53,14.79,1533.54,
146521,DCF03,8/16/2016 10:49,6.14,0.42,11.46,0.17,1.00,0.27,4.46,8.84,0.79,1.13,4.13,,,7.69,0.24,15.16,1775.08,
146764,TPB,8/17/2016 10:30,3.43,0.14,1.66,0.02,0.58,0.23,6.71,1.82,0.46,0.37,1.30,6.22,,2.50,0.12,,1667.57,
146765,TPB_Air,8/17/2016 10:30,,,,,,,,,,,,,,,,,,
146846,LMP72,8/23/2016 10:01,,,49.03,0.04,2.04,0.15,,28.88,2.34,2.56,11.50,7.09,-0.32,16.31,,6.04,1807.25,
146847,WHB01,8/23/2016 11:25,1.67,1.32,49.26,1.13,4.51,0.06,3.47,29.50,1.45,6.08,13.55,7.21,,2.50,0.19,9.04,3310.19,
146848,DCF03,8/23/2016 12:05,7.30,0.39,7.92,0.08,1.85,0.29,4.00,6.66,0.62,1.05,3.86,6.70,,6.96,0.30,10.96,1817.09,
146851,GOF,8/23/2016 10:45,,,,0.20,1.57,0.07,,17.75,1.28,1.31,7.45,6.47,,,,7.98,,
147015,LMP72,8/30/2016 10:45,4.15,0.36,52.84,0.03,1.99,0.15,3.54,31.17,2.53,2.59,12.08,7.48,2.41,26.18,0.30,15.51,2168.42,
147016,WHB01,8/30/2016 11:47,1.14,1.17,54.69,1.12,4.35,0.04,3.61,30.38,1.69,7.08,19.12,7.04,,,,12.06,1577.46,
147017,DCF03,8/30/2016 12:16,,,,,,,,,,,,,,,,,,
147471,LMP72,9/6/2016 11:33,3.86,0.32,52.32,0.02,1.96,0.16,4.07,30.73,2.50,2.66,10.97,7.04,10.28,31.72,0.26,11.77,2219.03,
147472,WHB01,9/6/2016 12:35,1.24,1.42,51.70,1.23,4.11,0.05,4.18,29.64,1.65,6.96,11.14,7.57,,15.83,0.17,12.72,2433.13,
