UNH ID #,Sample Name,DateTime,NPOC (mg C/L),TDN (mg N/L),Cl (mg Cl/L),NO3 (mg N/L),SO4 (mg S/L),Abs254,SUVA,Na (mg Na/L),K (mg K/L),Mg (mg Mg/L),Ca (mg Ca/L),Closed Cell pH,TSS (mg/L),NH4 (ug N/L),DON mg/L,PO4 (ug P/L),CO2ppm,Chla_Conc
113300,SBM0.2,10/16/2012 12:30,1.23,0.04,5.23,0.00,1.95,0.02,1.67,4.21,0.14,0.45,0.87,4.97,,5.91,0.03,2.00,,
113666,LMP72,10/23/2012 9:20,6.87,0.34,18.58,0.03,1.51,0.24,3.44,12.57,1.22,1.20,4.82,,,8.77,0.30,8.10,399.13,
113689,HBF,10/11/2012 13:00,2.67,0.14,1.64,0.00,0.96,,,1.03,0.10,0.20,0.93,5.74,,2.50,0.14,7.90,,
113690,DCF03,10/24/2012 10:30,9.25,0.35,6.48,0.03,0.81,0.35,3.79,5.23,0.81,0.79,2.76,,,12.24,0.31,7.82,,
113724,LMP72,10/30/2012 12:26,5.89,0.30,15.94,0.06,1.56,0.23,3.84,11.23,1.37,1.22,5.58,,,12.08,0.22,11.67,485.22,
113890,LMP72,11/6/2012 9:49,7.62,0.34,16.84,0.06,1.64,0.32,4.18,11.95,1.13,1.06,4.88,,,12.51,0.27,6.48,433.51,
113900,DCF03,11/5/2012 14:15,10.41,0.37,7.51,0.01,0.81,0.42,4.08,5.57,0.81,0.66,2.31,6.47,,,,14.80,,
113901,SBM0.2,11/5/2012 15:20,1.86,0.04,5.35,0.01,1.73,0.03,1.74,4.10,0.26,0.38,0.77,4.97,,9.39,0.02,10.92,,
113917,LMP72,11/13/2012 11:16,6.50,0.37,19.24,0.07,1.77,0.23,3.50,13.26,1.16,1.12,5.38,,,2.50,0.30,11.30,411.08,
114117,LMP72,11/20/2012 10:30,5.25,0.35,22.79,0.12,2.09,0.20,3.75,18.83,1.39,1.52,8.07,,,14.67,0.21,8.07,1085.77,
114171,BEF,11/20/2012 10:15,1.48,0.10,0.65,0.05,0.71,0.04,2.90,1.48,0.31,0.18,1.56,6.51,,5.89,0.04,4.52,,
114172,HBF,11/20/2012 13:15,2.01,0.10,0.61,0.03,1.02,0.06,2.81,1.22,0.08,0.21,0.76,5.99,,9.53,0.06,2.00,,
114228,LMP72,11/27/2012 9:29,5.58,0.42,21.84,0.14,1.78,0.17,3.11,15.24,1.06,1.17,5.43,,,24.40,0.25,2.00,821.64,
114365,LMP72,12/4/2012 10:16,5.53,0.66,19.18,0.14,1.75,0.15,2.74,13.35,1.23,1.15,5.52,,,24.81,0.49,5.48,684.02,
114394,LMP72,12/11/2012 10:12,4.22,0.33,18.71,0.11,1.97,0.17,3.92,13.14,1.01,1.23,6.25,,,11.33,0.21,,909.49,
114419,HBF,12/12/2012 12:15,2.44,0.21,0.85,0.14,0.87,0.07,2.87,1.33,0.10,0.21,0.74,5.53,,9.27,0.07,5.10,,
114476,LMP72,12/18/2012 10:37,4.58,0.35,19.77,0.15,1.87,0.15,3.26,13.74,0.95,1.10,5.08,,,15.01,0.18,8.87,1142.68,
114503,LMP72,12/27/2012 14:00,5.55,0.31,16.42,0.09,2.00,0.17,3.15,11.88,0.81,0.97,5.14,,,13.54,0.21,2.00,,
114517,LMP72,1/3/2013 12:27,5.49,0.40,19.08,0.13,2.22,0.18,3.35,13.45,0.95,1.13,6.01,,,27.99,0.23,5.88,1268.02,
114611,WHB01,12/19/2012 13:45,6.08,0.54,28.50,0.30,6.25,0.21,3.37,20.43,1.32,4.62,15.11,7.42,,8.58,0.23,13.05,,
114612,DCF03,12/19/2012 14:45,8.22,0.32,5.98,0.04,0.91,0.34,4.17,4.55,0.72,0.65,2.26,6.51,,27.03,0.26,2.00,,
114613,SBM0.2,12/19/2012 15:30,1.83,0.04,5.11,0.00,1.67,0.04,2.29,4.06,0.11,0.39,0.80,5.02,,6.13,0.03,2.00,,
114742,LMP72,1/8/2013 10:57,5.50,0.56,21.29,0.16,2.19,0.17,3.17,14.40,1.22,1.34,5.91,,,24.83,0.37,5.69,917.31,
114861,WHB01,1/7/2013 11:45,2.47,0.90,40.80,0.58,6.92,0.08,3.13,30.69,1.53,6.27,21.62,7.61,,7.53,0.30,5.49,,
114862,DCF03,1/7/2013 13:00,6.67,0.29,6.88,0.03,1.18,0.28,4.22,5.15,0.67,0.71,2.56,6.51,,66.91,0.19,2.00,,
114863,SBM0.2,1/7/2013 14:00,1.29,0.04,4.09,0.00,1.66,0.03,1.98,3.39,0.08,0.38,0.74,5.16,,2.50,0.03,2.00,,
115375,LMP72,1/15/2013 10:16,4.92,0.38,19.64,0.19,2.39,0.18,3.58,13.20,1.23,1.61,8.08,,,22.63,0.17,8.02,678.49,
115379,WHB01,1/15/2013 11:17,4.54,0.72,29.54,0.52,4.74,0.16,3.55,22.30,0.94,4.37,13.90,,,5.15,0.19,9.83,627.79,
115383,SBM0.2,1/15/2013 12:15,1.70,0.07,4.31,0.00,1.68,0.05,2.76,3.59,0.10,0.37,0.73,5.01,,11.27,0.06,2.00,,
115384,DCF03,1/15/2013 11:52,6.67,0.40,7.20,0.05,1.19,0.29,4.34,5.49,0.90,0.71,2.54,6.43,,48.54,0.30,7.23,,
115710,LMP72,1/22/2013 10:56,4.74,0.38,18.97,0.17,2.17,0.17,3.59,13.08,0.88,1.00,4.83,,,15.91,0.20,2.00,359.03,
115713,WHB01,1/22/2013 11:56,2.69,1.08,43.22,0.97,5.53,0.08,3.03,30.90,1.17,6.12,19.69,7.65,,9.13,0.11,2.00,279.03,
115716,SBM0.2,1/22/2013 12:52,1.27,0.04,4.04,0.00,1.71,0.03,2.26,3.40,0.08,0.39,0.78,5.22,,10.19,0.02,2.00,,
115717,DCF03,1/22/2013 12:30,5.54,0.25,6.44,0.04,1.29,0.25,4.57,4.99,0.57,0.71,2.63,6.49,,43.76,0.16,5.29,,
115934,HBF,2/1/2013 12:00,,,0.77,0.28,0.86,0.07,,0.89,0.09,0.29,0.87,5.28,,18.94,,2.00,,
115950,LMP72,1/29/2013 10:04,4.76,0.46,21.83,0.23,2.25,0.17,3.60,15.43,1.02,1.20,5.71,6.72,,23.06,0.21,6.88,1620.43,
115953,WHB01,1/29/2013 11:34,2.29,1.05,43.33,0.87,5.27,0.07,2.94,28.65,1.13,6.91,21.36,7.31,,21.80,0.15,2.00,1875.60,
115956,SBM0.2,1/29/2013 13:54,1.09,0.04,4.46,0.01,1.91,0.02,2.22,3.53,0.07,0.49,0.89,4.98,,14.42,0.01,6.26,,
115957,DCF03,1/29/2013 12:38,6.17,0.31,10.02,0.01,1.60,0.30,4.91,7.93,0.87,0.85,3.08,6.31,,108.76,0.19,6.65,,
115979,LMP72,2/5/2013 12:00,4.89,0.32,19.00,0.14,2.15,0.19,3.87,12.28,0.83,0.90,3.73,6.55,,16.12,0.17,6.21,992.04,
115982,WHB01,2/5/2013 12:00,2.37,1.26,47.43,1.17,6.36,0.08,3.21,31.17,1.07,6.64,19.60,7.46,,12.81,0.07,2.00,1149.11,
115985,SBM0.2,2/5/2013 12:00,1.32,0.04,3.99,0.01,1.92,,,3.29,0.10,0.52,1.19,4.98,,13.36,0.01,2.00,,
115986,DCF03,2/5/2013 12:00,5.72,0.22,5.78,0.02,1.39,0.27,4.69,4.61,0.61,0.75,2.48,6.23,,47.06,0.16,2.00,,
115989,HBF,1/31/2013 8:30,3.86,0.48,1.07,0.37,0.75,0.13,3.41,0.89,0.31,0.26,0.91,,,24.61,0.08,4.13,,
116030,LMP72,2/12/2013 9:34,4.30,0.45,23.43,0.26,2.15,0.17,3.87,15.47,1.06,1.51,5.31,6.57,,32.59,0.16,5.95,1266.82,
116034,WHB01,2/12/2013 11:29,2.38,1.09,44.16,0.81,5.22,0.07,3.00,29.95,1.23,6.26,18.66,7.40,,24.86,0.26,13.71,966.22,
116051,SBM0.2,2/12/2013 15:58,1.03,0.04,3.83,0.01,1.91,0.03,2.86,3.13,0.07,0.46,0.80,5.02,,12.64,0.01,8.01,,
116052,DCF03,2/12/2013 15:31,5.72,0.30,5.65,0.01,1.31,0.27,4.67,4.53,0.62,0.81,2.82,6.15,,133.95,0.15,2.00,,
116088,LMP72,2/19/2013 11:28,4.13,0.44,21.79,0.23,2.35,0.17,4.13,16.57,0.03,0.20,0.66,6.63,,31.85,0.18,10.72,1315.39,
116091,WHB01,2/19/2013 11:55,2.15,1.16,44.35,1.03,5.21,0.06,3.01,24.86,0.85,1.03,4.99,7.56,,15.48,0.12,2.00,779.03,
116094,SBM0.2,2/19/2013 13:24,1.08,0.04,4.09,0.01,1.93,0.03,2.94,3.33,0.08,0.52,1.05,5.03,,8.84,0.01,2.00,,
116095,DCF03,2/19/2013 12:42,5.29,0.33,6.61,0.02,1.31,0.27,5.03,5.06,0.65,0.84,2.97,6.40,,143.84,0.17,2.00,,
116161,LMP72,2/26/2013 10:10,4.11,0.43,24.07,0.25,2.33,0.15,3.65,15.19,1.33,1.39,6.11,,,29.90,0.15,6.79,1060.14,
116164,WHB01,2/26/2013 11:05,2.85,1.06,,,5.82,0.09,3.20,28.11,1.48,5.94,20.62,,,19.07,0.48,2.00,841.84,
116167,SBM0.2,2/26/2013 12:30,1.10,0.04,4.21,0.01,1.76,0.02,2.08,3.49,0.13,0.45,1.00,,,14.27,0.01,2.00,,
116168,DCF03,2/26/2013 12:04,5.05,0.34,6.52,0.05,1.13,0.22,4.43,5.03,0.67,0.73,2.70,,,139.05,0.15,2.00,,
116561,LMP72,3/5/2013 9:33,4.90,0.42,22.18,0.21,2.13,0.18,3.66,14.32,0.80,0.93,4.20,6.60,,24.80,0.18,2.00,1274.77,
116564,WHB01,3/5/2013 10:31,3.44,1.21,36.11,1.02,4.73,0.10,3.01,25.40,1.06,5.07,15.98,7.47,,14.10,0.18,4.14,744.14,
116567,SBM0.2,3/5/2013 11:25,1.21,0.04,4.10,0.00,1.73,0.02,2.06,3.29,0.12,0.41,0.83,4.94,,10.87,0.02,2.00,,
116568,DCF03,3/5/2013 11:03,5.07,0.28,7.10,0.04,1.22,0.21,4.15,5.23,0.74,0.70,2.57,6.27,,103.18,0.14,2.00,,
116571,GOF,3/4/2013 10:00,3.29,0.38,34.28,0.18,1.79,,,23.03,1.27,1.17,5.12,4.44,,124.09,0.07,11.11,,
116591,LMP72,3/12/2013 9:57,4.37,0.36,22.45,0.19,2.16,0.15,3.55,14.18,0.84,1.15,4.47,6.66,,27.56,0.15,8.17,1140.44,
116594,WHB01,3/12/2013 10:14,3.64,0.99,31.42,0.93,4.07,0.13,3.65,22.56,0.92,4.34,13.46,7.22,,15.22,0.04,7.77,886.38,
116610,SBM0.2,3/12/2013 15:00,1.49,0.07,5.37,0.00,1.70,0.04,2.44,3.33,0.12,0.47,1.09,5.01,,,,,,
116611,DCF03,3/12/2013 15:31,4.87,0.30,7.71,0.06,1.27,0.20,4.11,5.28,0.61,0.72,2.71,6.31,,,,,,
116622,BDC0.30,3/14/2013 12:00,,,,,,,,,,,,6.71,,,,,,
116709,LMP72,3/20/2013 10:45,3.81,0.35,26.78,0.15,2.11,0.15,3.93,17.63,0.87,0.89,3.53,6.70,,23.98,0.17,10.87,1042.90,
116712,WHB01,3/20/2013 11:51,2.96,1.33,48.19,1.19,4.68,0.09,3.10,31.27,1.00,5.01,15.64,7.38,,12.46,0.13,6.99,760.26,
116715,SBM0.2,3/20/2013 13:08,1.62,0.12,5.87,0.01,1.81,0.04,2.17,3.20,0.11,0.54,0.96,5.04,,8.91,0.10,2.00,,
116716,DCF03,3/20/2013 12:30,4.45,0.24,7.24,0.05,1.42,0.17,3.89,4.37,0.48,0.64,1.85,6.20,,32.25,0.16,2.00,,
116836,LMP72,3/26/2013 10:36,4.07,0.35,22.08,0.19,2.18,0.14,3.52,14.42,0.77,0.94,4.14,6.66,,13.51,0.15,2.00,702.88,
116839,WHB01,3/26/2013 11:30,3.39,1.11,36.75,0.93,4.17,0.10,3.07,25.24,1.15,4.46,14.24,7.34,,5.19,0.18,2.00,840.82,
116842,SBM0.2,3/26/2013 12:55,1.32,0.04,5.82,0.00,1.82,0.03,2.19,3.19,0.12,0.50,0.82,4.92,,2.50,0.03,2.00,,
116843,DCF03,3/26/2013 12:33,4.55,0.23,7.62,0.07,1.39,0.19,4.26,4.83,0.56,0.73,2.16,6.31,,20.69,0.14,2.00,,
116858,LMP72,4/2/2013 9:35,4.78,0.34,17.39,0.17,1.81,0.17,3.46,11.60,0.88,0.96,3.26,6.64,,9.21,0.16,6.35,745.33,
116861,WHB01,4/2/2013 10:24,3.42,0.66,32.85,0.63,4.03,0.12,3.58,22.84,1.05,4.65,14.88,7.25,,8.76,0.02,2.00,917.74,
116864,SBM0.2,4/2/2013 11:14,1.97,0.13,5.91,0.00,1.70,0.05,2.41,3.16,0.16,0.50,0.93,4.76,,2.50,0.12,2.00,,
116865,DCF03,4/2/2013 10:54,3.94,0.19,5.50,0.02,1.19,0.14,3.65,3.12,0.39,0.51,1.56,6.09,,7.50,0.16,2.00,,
116925,LMP72,5/14/2013 16:00,5.96,0.74,30.04,0.17,1.96,0.23,3.81,19.17,1.53,1.50,6.18,7.05,,46.42,0.53,7.04,739.58,
116928,WHB01,5/14/2013 9:45,3.44,0.75,44.23,0.55,3.79,0.12,3.38,30.46,0.83,6.49,18.61,7.69,,30.96,0.18,4.52,909.93,
116944,SBM0.2,5/14/2013 11:10,1.14,0.04,4.61,0.01,1.62,0.03,2.21,3.48,0.13,0.53,0.93,4.99,,10.22,0.02,2.00,,
116945,DCF03,5/14/2013 10:50,5.90,0.30,8.41,0.06,0.80,0.28,4.69,6.22,0.59,0.82,2.22,6.66,,16.55,0.23,4.91,,
116967,LMP72,4/9/2013 10:40,4.01,0.32,21.08,0.10,2.06,0.14,3.46,14.27,0.95,1.21,3.94,6.72,,27.60,0.19,15.16,807.03,
116970,WHB01,4/9/2013 11:18,4.11,0.81,40.34,0.57,4.59,0.12,2.98,27.53,1.29,5.52,17.66,7.56,,11.08,0.24,5.09,1055.44,
116986,SBM0.2,4/9/2013 16:24,1.85,0.11,6.00,0.00,1.81,0.05,2.53,3.40,0.18,0.48,0.85,4.89,,2.50,0.10,2.00,,
116987,DCF03,4/9/2013 15:57,4.03,0.21,6.02,0.00,1.17,0.15,3.67,3.51,0.44,0.60,1.87,6.22,,11.88,0.19,5.27,,
117032,LMP72,4/16/2013 10:00,6.80,0.78,19.98,,1.92,0.17,2.43,13.48,1.26,1.14,3.84,6.64,,45.88,0.56,6.79,3476.81,
117035,WHB01,4/16/2013 10:46,3.36,0.79,40.31,0.61,4.60,0.10,3.02,28.13,1.22,5.67,19.66,7.36,,13.97,0.16,2.00,930.77,
117038,SBM0.2,4/16/2013 11:58,1.77,0.11,5.92,0.00,1.88,0.04,2.12,3.35,0.11,0.46,0.83,4.85,,7.16,0.10,2.00,,
117039,DCF03,4/16/2013 11:33,4.50,0.21,6.35,0.00,1.18,0.16,3.55,3.81,0.40,0.57,1.53,6.24,,11.31,0.20,5.49,,
117095,LMP72,4/23/2013 9:29,4.82,0.34,23.61,0.10,1.96,0.16,3.38,16.41,1.05,1.37,6.85,6.91,,21.46,0.22,2.00,624.37,
117098,WHB01,4/23/2013 10:41,3.28,0.76,44.18,0.59,4.31,0.11,3.23,30.86,1.37,7.59,9.89,7.75,,15.16,0.15,5.59,1318.44,
117101,SBM0.2,4/23/2013 11:54,1.79,0.13,5.85,0.00,1.78,0.03,1.80,4.11,0.13,0.49,1.81,4.92,,24.68,0.10,2.00,,
117102,DCF03,4/23/2013 11:25,5.25,0.27,6.50,0.04,1.01,0.19,3.55,4.41,0.40,0.58,2.49,6.27,,30.02,0.20,4.40,,
117349,SBM0.2,4/30/2013 12:58,1.55,0.12,4.71,0.00,1.89,0.03,1.88,3.52,0.13,0.54,1.14,4.90,,6.15,0.11,2.00,,
117350,DCF03,4/30/2013 12:45,5.36,0.28,6.37,0.00,1.06,0.20,3.70,4.72,0.51,0.70,1.86,6.36,,21.06,0.26,16.35,,
117413,LMP72,5/7/2013 9:05,5.79,0.67,30.05,0.12,2.19,0.15,2.59,18.90,1.55,1.53,6.06,7.07,,34.95,0.52,9.40,456.44,
117416,WHB01,5/7/2013 8:39,3.41,0.69,47.58,0.49,4.27,0.10,2.86,32.29,1.32,6.48,22.97,7.69,,29.48,0.17,2.00,820.70,
117419,SBM0.2,5/7/2013 12:07,1.50,0.13,4.96,0.00,1.84,0.04,2.91,3.71,0.19,0.54,1.16,5.05,,16.14,0.11,2.00,,
117420,DCF03,5/7/2013 11:47,5.90,0.34,6.75,0.02,0.94,0.22,3.69,5.07,0.46,0.73,1.97,6.51,,40.65,0.27,8.31,,
117424,BDC0.30,5/7/2013 13:00,10.79,1.57,15.80,1.13,4.23,,,8.95,6.02,3.07,19.27,7.66,,21.62,0.42,44.16,,
117610,LMP72,5/21/2013 10:53,5.01,0.46,33.99,0.16,1.98,0.18,3.63,21.25,1.53,1.81,7.22,7.06,,34.23,0.27,7.01,612.72,
117613,WHB01,5/21/2013 12:11,3.72,0.81,45.81,0.58,3.66,0.12,3.10,31.93,1.33,6.83,23.56,7.68,,23.32,0.21,2.00,863.94,
117616,SBM0.2,5/21/2013 13:08,1.35,0.11,4.86,0.01,1.71,0.02,1.46,3.71,0.03,0.61,1.26,5.10,,11.43,0.09,2.00,,
117617,DCF03,5/21/2013 12:48,6.41,0.43,7.91,0.10,0.83,0.27,4.16,6.28,0.52,0.95,2.66,6.69,,21.06,0.31,12.65,,
117677,BDC0.30,4/26/2013 12:00,,,,,,,,,,,,,,,,,,
117837,LMP72,5/28/2013 10:14,9.21,0.69,18.67,0.05,1.37,0.30,3.24,12.73,1.13,1.07,3.68,6.64,,33.61,0.60,15.48,1664.59,
117838,WHB01,5/28/2013 11:35,4.56,0.72,38.22,0.49,3.52,0.14,3.09,28.25,1.02,5.59,19.55,7.57,,18.25,0.22,2.00,1234.42,
117839,SBM0.2,5/28/2013 15:28,1.82,0.11,4.28,0.00,1.71,0.04,1.97,3.29,0.10,0.44,0.85,4.90,,5.94,0.11,8.74,,
117840,DCF03,5/28/2013 15:03,7.86,0.31,6.82,0.02,0.76,0.31,3.99,5.38,0.37,0.67,1.91,6.47,,20.47,0.26,10.60,,
117860,HBF,5/30/2013 13:00,2.71,0.11,1.82,0.06,0.98,0.07,2.42,1.19,0.08,0.29,0.82,,,9.10,0.04,2.00,,
118002,LMP72,6/4/2013 9:53,6.93,0.65,22.89,0.13,1.45,0.29,4.19,15.29,1.26,1.42,4.91,6.94,,185.60,0.33,7.59,,
118003,WHB01,6/4/2013 12:12,4.21,0.66,45.19,0.48,3.27,0.17,3.95,32.55,1.03,7.18,24.07,7.27,,19.53,0.15,2.00,,
118004,SBM0.2,6/4/2013 13:19,1.62,0.07,4.53,0.01,1.62,0.02,1.51,3.48,0.12,0.48,1.02,3.78,,15.34,0.05,5.17,,
118005,DCF03,6/4/2013 12:47,7.06,0.37,6.56,0.06,0.67,0.38,5.42,5.22,0.40,0.76,2.35,6.60,,120.29,0.19,6.38,,
118021,LMP72,6/11/2013 9:37,7.40,0.43,18.88,0.05,1.15,0.30,4.00,13.04,0.85,1.35,4.47,6.85,,38.00,0.34,4.77,,
118022,WHB01,6/11/2013 10:01,9.17,0.43,,0.09,1.62,0.37,4.08,18.30,0.67,4.53,14.59,7.37,,12.08,0.33,2.00,,
118036,SBM0.2,6/11/2013 12:00,,,,,,,,,,,,,,,,,,
118037,DCF03,6/11/2013 14:23,8.32,0.27,5.44,0.00,0.62,0.39,4.68,4.29,0.29,0.69,1.94,6.39,,12.67,0.25,2.00,,
118060,BDC0.30,6/4/2013 12:30,17.49,1.73,12.32,1.10,2.75,0.80,4.59,8.64,5.32,3.57,22.10,7.39,,56.65,0.58,138.01,,
118079,BDC0.30,6/11/2013 8:45,22.22,1.14,6.82,0.10,1.31,0.88,3.97,6.31,5.54,3.20,14.44,6.95,,24.61,1.02,115.70,,
118085,LMP72,6/18/2013 8:30,7.41,0.42,19.20,0.03,1.20,0.29,3.98,12.72,0.88,1.13,6.11,6.85,,37.76,0.35,5.98,1831.62,
118086,WHB01,6/18/2013 9:23,4.69,0.58,42.66,0.32,2.83,0.18,3.78,29.98,0.92,6.83,25.34,7.79,,18.61,0.24,2.00,,
118087,SBM0.2,6/18/2013 10:26,1.69,0.04,4.15,0.00,1.42,0.04,2.11,3.33,0.09,0.41,1.39,4.93,,7.22,0.03,2.00,,
118088,DCF03,6/18/2013 9:57,8.23,0.34,5.58,0.01,0.56,0.38,4.62,4.27,0.24,0.65,2.80,6.50,,12.73,0.31,6.18,,
118126,TPB,6/20/2013 10:00,3.46,0.14,2.40,0.00,0.85,0.16,4.49,1.62,0.17,0.38,1.76,,,2.50,0.14,,,
118231,LMP72,6/25/2013 9:42,7.16,1.00,25.57,0.12,1.41,0.30,4.15,16.94,2.04,1.43,7.88,6.90,,107.40,0.78,31.90,630.08,
118232,WHB01,6/25/2013 10:57,6.83,0.59,39.82,0.22,2.26,0.30,4.32,28.18,1.14,6.56,26.09,7.75,,60.98,0.31,2.00,817.39,
118233,SBM0.2,6/25/2013 11:55,1.30,0.04,4.31,0.00,1.50,0.03,2.51,3.42,0.08,0.41,1.42,5.07,,2.50,0.03,2.00,,
118234,DCF03,6/25/2013 11:32,8.82,0.35,5.07,0.00,0.56,0.41,4.68,4.10,0.36,0.70,3.16,6.57,,15.28,0.34,4.97,,
118645,TPB,6/26/2013 13:00,4.12,0.16,2.30,0.00,0.05,,,1.48,0.16,0.31,1.45,5.90,,2.50,0.15,,,
118646,Big River (Tom Berry Rd),6/26/2013 14:30,9.15,0.28,4.85,0.01,0.59,,,3.23,0.30,0.43,1.88,5.52,,23.18,0.25,17.63,,
118694,LMP72,7/2/2013 9:48,8.75,0.37,20.54,,0.99,0.37,4.24,13.82,1.04,1.31,7.07,7.01,,47.32,0.27,9.19,419.39,
118695,WHB01,7/2/2013 10:38,8.08,0.55,33.53,0.18,2.05,0.32,4.00,24.92,1.04,6.02,25.04,7.58,,17.98,0.35,26.07,594.38,
118696,SBM0.2,7/2/2013 12:01,3.06,0.08,4.14,0.01,1.21,0.11,3.46,3.22,0.10,0.30,1.19,4.37,,15.40,0.06,2.00,,
118697,DCF03,7/2/2013 11:33,9.43,0.36,7.53,0.00,0.52,0.44,4.67,5.97,0.55,0.72,3.23,6.51,,33.32,0.32,6.98,,
118851,LMP72,7/9/2013 10:18,9.49,1.00,21.10,0.19,1.20,0.38,3.97,13.97,1.29,1.24,7.62,7.11,,74.17,0.74,,,
118852,WHB01,7/9/2013 10:44,5.72,0.73,48.17,0.62,2.80,0.19,3.31,33.51,1.26,8.17,35.90,7.81,,13.34,0.10,,9066.89,
118866,SBM0.2,7/9/2013 15:20,2.04,0.07,4.62,0.01,1.39,0.04,1.74,3.14,0.07,0.25,1.00,4.99,,2.50,0.06,,,
118867,DCF03,7/9/2013 14:56,8.86,0.39,7.06,0.03,0.49,0.38,4.26,4.78,0.31,0.67,3.27,6.60,,27.57,0.33,,,
118916,BDC0.30,5/31/2013 12:00,,,,,,,,,,,,,,,,,,
118936,BDC0.30,7/3/2013 12:00,,,,,,,,,,,,,,,,,,
118954,HBF,7/11/2013 9:30,3.40,0.13,1.30,0.00,0.78,,,0.96,0.09,0.20,1.03,5.82,,86.19,0.05,2.00,,
119092,LMP72,7/16/2013 10:42,10.63,1.12,22.04,,0.97,0.36,3.34,14.28,1.60,1.33,6.99,6.97,,103.75,0.93,7.99,434.37,
119093,WHB01,7/16/2013 10:15,4.45,0.80,53.61,0.56,2.60,0.17,3.74,36.67,1.32,8.41,33.95,7.81,,22.42,0.22,2.00,400.89,
119094,SBM0.2,7/16/2013 9:12,1.52,0.08,4.62,0.00,1.19,0.02,1.64,3.40,0.07,0.34,1.37,4.85,,17.67,0.06,2.00,,
119095,DCF03,7/16/2013 9:36,8.04,0.39,6.98,0.03,0.50,0.43,5.30,5.04,0.36,0.83,3.64,6.64,,15.24,0.34,5.78,,
119172,BDC0.30,7/16/2013 9:30,4.66,2.39,16.92,2.21,4.05,,,10.21,7.45,5.03,37.95,7.41,,121.30,0.05,162.12,,
119386,BDC0.30,7/17/2013 12:00,9.93,3.15,18.70,3.12,5.72,,,11.36,7.66,5.23,40.45,,,30.03,0.00,193.69,,
119411,LMP72,7/23/2013 9:33,5.70,0.38,27.97,0.17,1.28,,,18.00,1.35,1.47,8.66,6.65,,74.04,0.14,13.43,1009.30,
119412,WHB01,7/23/2013 10:36,8.11,0.63,43.56,0.14,1.31,,,26.21,0.97,1.29,7.13,7.77,,17.89,0.47,2.00,775.72,
119413,SBM0.2,7/23/2013 11:35,2.41,0.10,6.22,0.02,1.15,,,3.33,0.19,0.20,0.77,4.79,,2.50,0.07,2.00,,
119414,DCF03,7/23/2013 11:10,11.08,0.42,5.94,0.06,0.52,,,3.44,0.39,0.60,2.88,6.48,,25.19,0.33,2.00,,
120931,LMP72,7/30/2013 10:10,6.55,0.44,23.68,0.16,1.28,0.30,4.64,16.03,0.96,1.27,6.60,6.97,,24.90,0.25,2.00,606.00,
120932,WHB01,7/30/2013 11:28,4.66,0.72,49.76,0.51,2.66,0.17,3.72,36.15,1.20,8.76,32.06,7.92,,10.21,0.21,2.00,606.52,
120933,SBM0.2,7/30/2013 14:50,1.21,0.04,6.38,0.02,1.34,0.01,1.06,3.41,0.07,0.22,0.70,5.07,,2.50,0.01,2.00,,
120934,DCF03,7/30/2013 14:29,8.81,0.30,7.04,0.06,0.50,0.42,4.73,4.12,0.24,0.65,2.98,6.74,,15.55,0.23,2.00,,
121112,LMP72,8/6/2013 9:23,9.04,1.03,24.26,0.13,1.36,0.27,3.04,16.86,1.39,1.23,6.90,7.05,,90.12,0.81,22.94,716.34,
121113,WHB01,8/6/2013 10:28,2.95,1.02,45.19,0.95,3.66,0.08,2.86,31.94,1.28,7.56,29.15,7.68,,14.27,0.06,11.41,1103.98,
121114,SBM0.2,8/6/2013 11:52,1.47,0.07,6.43,0.01,1.29,0.03,1.92,3.50,0.07,0.27,0.99,5.06,,14.48,0.05,7.76,,
121115,DCF03,8/6/2013 11:27,8.86,0.42,8.70,0.08,0.60,0.36,4.08,5.57,0.28,0.72,3.20,6.66,,17.22,0.32,9.18,,
121118,BEF,8/5/2013 12:15,1.48,0.09,1.51,0.00,0.63,,,1.53,0.28,0.24,2.95,,,7.92,0.07,5.17,,
121358,LMP72,8/13/2013 10:04,9.01,0.86,23.99,0.11,1.33,0.30,3.37,16.33,1.55,1.36,7.80,6.94,,60.41,0.70,,763.12,
121359,WHB01,8/13/2013 10:22,3.65,0.95,46.30,0.80,3.23,0.11,3.05,32.80,1.43,7.89,27.37,7.69,,9.53,0.14,,1305.34,
121373,SBM0.2,8/13/2013 15:28,1.37,0.07,5.94,0.00,1.18,0.02,1.61,3.50,0.10,0.33,0.86,5.19,,6.08,0.07,,,
121374,DCF03,8/13/2013 14:50,8.79,0.45,8.03,0.08,0.44,0.36,4.07,5.24,0.27,0.73,3.38,6.66,,9.76,0.36,,,
121528,LMP72,8/20/2013 9:32,9.47,1.44,27.47,0.06,1.41,0.26,2.72,17.90,2.14,1.54,9.30,7.07,,93.12,1.29,14.04,,
121529,WHB01,8/20/2013 10:32,1.96,1.08,50.23,0.98,3.76,0.07,3.75,32.65,1.39,7.89,28.66,7.62,,7.20,0.09,2.00,,
121530,SBM0.2,8/20/2013 11:50,0.95,0.04,6.49,0.01,1.41,0.02,2.07,3.65,0.08,0.27,0.84,5.11,,2.50,0.02,2.00,,
121531,DCF03,8/20/2013 11:30,6.58,0.39,8.83,0.15,0.55,0.32,4.81,5.81,0.29,0.80,3.81,6.49,,12.49,0.22,5.34,,
