"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","0.0572618495852172","0.92908942926879","0.404808807680442","-3.04268963080117","0.727003708829485","0.91927468907657","0.8691391880559","-2.54482300229728","-2.53622569069761","0.19890406188102","0.621813605731118"
"1st Qu.","0.833807437773876","0.950230610824678","0.721946008587198","0.397595840497474","0.882275757879154","0.953041629374661","0.886554965865114","-0.972684169941916","-0.432148203165873","0.699770069448372","0.776473601306035"
"Median","0.90519762903353","0.962580852385682","0.799196337279795","0.819510762416914","0.920297983246462","0.968265873329515","0.903872646318204","0.0189732898009002","-0.0673435802562417","0.799163253881638","0.828149075036573"
"Mean","0.766430817310466","0.961167312868371","0.782505828604822","0.426827000241729","0.906587132001602","0.960531646993782","0.902702586620472","-0.401811400679728","-0.239940729732934","0.745870327135741","0.809500804227333"
"3rd Qu.","0.925627881475801","0.972954777809465","0.882588792338177","0.97637041510909","0.954912907443441","0.972203692704399","0.916343654766109","0.297053056579014","0.286126135342113","0.849270950008271","0.858809239503988"
"Max.","0.966985157442104","0.980221566454725","0.944882216208148","0.988873738052352","0.981109405734296","0.979397483672463","0.935742045185612","0.536138844012676","0.729089182733526","0.899079914027658","0.886602456493056"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
