"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-4.2962177274611","0.580477079515397","-6.18679482636073","-54.4005363787836","-1.48219037131574","0.412981721038138","-1.876165186648","-13.7346053027928","-17.8418871183566","-36.1008953899275","-2.80460900656347"
"1st Qu.","-3.98447235483948","0.582197669442009","-3.9816723395264","-36.3475127453257","-1.22178951353739","0.540222167321024","-1.34650331415553","-12.1729205957592","-15.6665035511314","-26.0477870473562","-1.32539789879184"
"Median","-3.85964185607414","0.585954267690419","-3.37985625034545","-33.2049058493683","-1.12498571477017","0.566608200393933","-0.980698832617474","-11.4134424971627","-14.2533973844858","-24.0537331939418","-1.07715784731997"
"Mean","-3.86793850645539","0.585703117811579","-3.47597038536289","-33.6144331908049","-1.13253996678865","0.552514717200818","-1.03122548095692","-11.6161031555991","-14.3905405246359","-25.0363414888558","-1.06306429392249"
"3rd Qu.","-3.72553264511661","0.588251951894597","-3.08335056908615","-28.828537222048","-1.03686872841362","0.584278102556457","-0.763645843753464","-11.0175289875529","-13.1679047662618","-22.2387866857965","-0.62711320415263"
"Max.","-3.42241781503531","0.595718145544786","-1.56595014514192","-19.1302915814137","-0.812771835263482","0.61019503339528","-0.402732081409049","-9.60278596209337","-10.4447073015886","-18.8117841840087","0.120634248295754"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
