"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-1.10477653818658","0.608312863726282","-27.1809074757101","-1.05801829346342","-13.2040934059657","-18.6819446042476","-35.5719199637165","-24.4614107294873","-11.3802649067233","-24.8152282448557","-8.90354607116004"
"1st Qu.","-1.0332345453624","0.626945277751129","-17.5466594003001","-0.720556847335584","-12.3364165984663","-15.1449909501271","-27.8282622129833","-22.2467941061737","-4.7431467289514","-23.0381341612472","-6.27193907552755"
"Median","-1.00764604946456","0.637318889744203","-15.2277498059133","-0.619063952694051","-11.7362779072055","-13.8890040382916","-25.4653823017502","-21.3914984964946","-3.98111730885864","-21.659806178893","-5.11416483201694"
"Mean","-1.00857497273716","0.634905302376177","-15.5390615187804","-0.622389346200356","-11.7811483868174","-14.1005257549471","-25.4364681368562","-21.4913789362478","-4.26613915843946","-21.6833567377412","-5.36050266454463"
"3rd Qu.","-0.982312584637316","0.644019102201226","-12.7937513341614","-0.501447141531457","-11.2299360387664","-12.9533695113559","-21.9857515853697","-20.554010463259","-3.13203283445184","-20.2385309666967","-4.50063398784612"
"Max.","-0.947241521479002","0.65959493897095","-7.23428178849584","-0.289226020596871","-10.5292269321047","-10.4553188551006","-19.4964457117679","-18.6181020324781","-2.18686840680232","-18.706510971678","-3.51301074442723"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
