"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-16.0335021664835","-53.4966222650205","-3.29456770163689","-5.92217254315107","-2.9580763514611","-31.2742683331692","-122.594527788967","-159.595160222042","-5.82739461209631","-6.34543134236919","-2.37874854057773"
"1st Qu.","-7.09059580938918","-12.3901245185009","-2.00726975663396","-2.76562103541624","-0.879463216117468","-1.68216749993394","-3.64176995710349","-14.6558940325174","-4.37730049908577","-2.57943889112235","-0.295494928399476"
"Median","-5.07052873537781","-6.88166825664075","-1.14050856229837","-1.74340309215205","-0.325732583210389","-1.0392710145776","-1.34278026819035","-4.21566051909044","-3.23255626523845","-0.969759145772083","0.333865178259247"
"Mean","-6.14694215759914","-9.42366291145937","-1.43006950758497","-2.17451774786249","-0.560542939798646","-5.43345434173363","-16.3214521130618","-23.0319759242874","-3.44733282429715","-1.85073911504915","-0.00805172606949696"
"3rd Qu.","-3.58289313622657","-3.14663299875494","-0.95158769095117","-1.28699476668607","-0.0140465952054988","-0.350219889505708","-0.700167998430005","-1.39796142773135","-2.60044452877227","-0.492431924291157","0.649283724695966"
"Max.","-2.42237168257541","-1.02913152729029","-0.220143826355254","0.0541950873970991","0.472615174800096","0.0729551111051363","0.376070568146969","0.102080017350402","-1.81181575460394","0.348063944632326","0.743400297763827"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
