"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","0.225776221551972","0.799605885931328","-3.75320722752739","0.226776751515369","-2.06631627540447","-0.555214070537318","-0.332070153070421","-14.0043130222443","-7.01012791531453","-1.19174887113076","-0.842172328832298"
"1st Qu.","0.558743885834225","0.928550155076655","0.687192019332159","0.650064552989561","-1.19704288050049","0.467553369064605","0.354065293200551","-1.26478561088027","-1.17133752166858","0.0540734245421884","0.662455037738721"
"Median","0.693932647508166","0.964732465332348","0.899081110924898","0.87051115663614","-0.184665805191712","0.746275944824379","0.63454075185056","-0.271320636726439","-0.178271613540638","0.443486823838213","0.730803329383733"
"Mean","0.674832096087731","0.940404725429967","0.426426543340778","0.775784470198269","-0.398975201853016","0.616218388361367","0.513414081797823","-1.0033468304167","-0.726285943803497","0.195817797355869","0.64224345018473"
"3rd Qu.","0.804336433349996","0.974808342619735","0.942751082597716","0.931797832357136","0.278728546465723","0.850061900131228","0.731921575441236","0.296015466720799","0.222266033944462","0.620031405447811","0.845037686959054"
"Max.","0.970516033918188","0.995751890384788","0.97720115413338","0.977211084427315","0.583535811329439","0.954839416451835","0.896404637529764","0.609753789622712","0.677672829783161","0.8592426416686","0.909351341838972"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
