"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-0.0023498760151397","0.898941723756789","0.679713671658079","-0.448556562274014","0.634886204276976","0.91520575049197","0.851749344886244","-1.39747885290508","-3.38628005131298","0.312465413345235","0.444313390057319"
"1st Qu.","0.850219869015264","0.947456595714153","0.806663436944302","0.882513634242076","0.846522450117651","0.947215768909328","0.890517720369222","-0.345063274691867","-0.657082870393769","0.730213178283607","0.625385145425618"
"Median","0.915368706195202","0.970207114660325","0.878993398090703","0.921463044805143","0.875850297364683","0.958257093953075","0.905345367858422","0.0389772596146074","-0.302242081111399","0.794119317909122","0.656707367965645"
"Mean","0.756323145944973","0.959155752617609","0.861140095479231","0.701958424667754","0.857362697855809","0.954938267665767","0.901638441212655","-0.130117661071849","-0.481749730137931","0.766231836125837","0.65477391397415"
"3rd Qu.","0.929241957741805","0.973333058957062","0.922693099755042","0.947871345527888","0.900816607598967","0.963966620701144","0.914928328745567","0.296693298038272","0.11546780990823","0.84438089576515","0.720795228071009"
"Max.","0.963520289658923","0.98475556008805","0.943729825249074","0.964315298528606","0.949840400453795","0.970235964963844","0.936416062406761","0.539551776178302","0.350854935936807","0.904138190320684","0.7836331167387"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
