"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-372.809287581188","0.517402470663799","-1.65548351517013","-401.998012437543","-92.1754820246793","-4.04594759217597","-5.86268312420978","-9.53073349891078","-9.90673310420607","-4.1092218985043","-1331.9201126927"
"1st Qu.","-274.787560700058","0.521501790799259","-1.36604793789876","-223.338178191211","-80.4899449457181","-3.6239332361779","-4.50852847325341","-8.47049864346778","-9.40259682465108","-3.8006900814802","-1143.8769195218"
"Median","-211.567744088604","0.523163483533671","-1.2302812916181","-191.013461494692","-76.6687478809749","-3.33298789525707","-4.22603965511374","-8.10511301087693","-9.01086887818041","-3.64676483086647","-1058.01397296204"
"Mean","-231.949804711056","0.523003420413667","-1.2454660558898","-195.126642492951","-77.1297392192171","-3.40028067547022","-4.31463482144626","-8.10687546902363","-8.76642272963867","-3.65701155954683","-1082.58690971766"
"3rd Qu.","-175.282081029638","0.524699017870496","-1.10950351925527","-153.418626284449","-74.4433299122221","-3.21773781413601","-3.95106034798546","-7.77735328662508","-8.1883205709521","-3.52886135901328","-998.646259744603"
"Max.","-125.449191522928","0.52907321732889","-0.913133375700813","-91.328183071204","-66.0955921273208","-2.78610522941146","-3.59900213323182","-6.95316886046633","-6.99151513018685","-3.2961705451124","-927.509743718385"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
