"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-0.56519336221686","0.892072125736471","-5.24349937594502","-0.942118090626662","-10.6028675629229","-2.0236291890974","-7.15330115107939","-10.4576076893056","-1.7255115795812","-6.5221251872364","0.303597023710972"
"1st Qu.","-0.105761963761628","0.910704965380204","-1.02209731951454","0.317092825545861","-2.16492927967069","-0.732901763812396","-5.64139768184974","-4.16019228453128","-0.579443294756961","-3.51082242150891","0.653284029373311"
"Median","0.121467290769118","0.937383228104684","-0.479275424611269","0.442285620140223","-0.531348809401336","0.178932835192947","-4.77270704732248","-2.41897663311198","-0.222876565742911","-2.78398099563465","0.747899245720847"
"Mean","0.0568842042208988","0.933718686158534","-0.887382344139839","0.331553195474089","-1.97083589512802","-0.195852524493939","-4.69528770722087","-3.21649518297612","-0.27900917011488","-3.06928604880638","0.715704731274736"
"3rd Qu.","0.224278674980382","0.95933631724953","-0.092692723245512","0.533741663385402","-0.147300967016025","0.36946409952172","-3.54989325908431","-1.24338165732012","0.0881608996739988","-2.21809641180036","0.814881508878781"
"Max.","0.42262711292551","0.975667440902126","0.572155432593745","0.664882076852682","0.484987123362377","0.632716356015078","-2.36182913683794","-0.26148922009762","0.47145578210491","-0.858906328237551","0.942937572950366"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
