"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-48.3190650124662","0.319361239476875","-0.007535266757559","-46.0571954369421","-0.434631150114587","0.308855283416661","-2.30386599409551","-32.0011014767435","-19.1198669170934","-0.854073318020483","0.330562265697559"
"1st Qu.","-0.196907695347904","0.67253458422419","0.532715713073659","0.192588279636866","0.216292110177365","0.588806652766054","0.246297569118996","-9.93436882931411","-3.67973747617599","0.211843877134398","0.546058458552186"
"Median","0.466769184048885","0.779355835258462","0.80892581337093","0.453774031786192","0.43310670745886","0.789333644532041","0.606437135052764","-2.1901393727203","-1.1053211825892","0.44179822838696","0.676047974711284"
"Mean","-3.97858343823659","0.73677576089495","0.700600858496719","-4.7735843750425","0.382495683590679","0.735246784134227","0.414434043634051","-6.2460019282219","-3.20285288537761","0.284438156838534","0.675792016716697"
"3rd Qu.","0.699709477547676","0.859290838812192","0.911502977209141","0.811335452773216","0.632982012366536","0.904785530036597","0.793740592683091","-0.27765800519923","-0.313462947714722","0.590081459175609","0.819160587408999"
"Max.","0.878723826244181","0.931406689650479","0.963970080294504","0.968330676726764","0.930877835352742","0.969764701020192","0.969258808092576","0.699080342940762","0.820204781211244","0.784361481706593","0.942353468628541"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
