"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-2.08650311418108","0.293965419855846","-0.181565595031753","0.33377418704605","-0.554651636994195","0.39844455886178","-0.131065201260005","-23.6409749643163","0.0109368252090905","-12.5921961462507","-0.155549332203738"
"1st Qu.","-0.424336530643374","0.849428240078882","0.271078637953648","0.486658258577428","0.129161077485209","0.564793492139877","0.294873684594832","-6.49390300165559","0.397536413849749","-7.39344423666315","0.3397201184197"
"Median","0.206295575202812","0.899630734416955","0.40386561872727","0.557285564884007","0.459964921236523","0.660207942493819","0.395173635021388","-3.05429772308359","0.561381800713125","-4.31365316991356","0.528047923724574"
"Mean","-0.074958930069887","0.793543131206514","0.366458973330789","0.573375713999922","0.292147518248774","0.631152610956388","0.380380002317829","-5.07025598408529","0.4958824015752","-5.31823233573202","0.476114622277501"
"3rd Qu.","0.463731274171619","0.91640893280471","0.487770729666711","0.684469857192624","0.567545992904476","0.691573825191784","0.520818049068014","-1.72535431065763","0.636850466079395","-2.8008403947552","0.604248595451995"
"Max.","0.666364973571257","0.961679673340001","0.737940076184316","0.761292675268588","0.743397942209261","0.807865972582139","0.643058815293284","-0.837740461888915","0.733017483526843","-1.4591599848743","0.774358230832962"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
