"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-1.37957765400965","0.848303305856583","-0.64943887223951","-0.892035049088533","-2.04276109883234","-0.54614443032987","-1.37015070905114","-21.6904763207336","-0.271951698325151","-14.2676665510348","-1.0289043044566"
"1st Qu.","-0.230576536466124","0.872962123683122","-0.0941748108661467","-0.0264910259942287","-0.22980065421131","0.137295605596729","-0.44521889141132","-5.27963072780989","0.151651586207347","-7.96630196583775","0.0112414157801031"
"Median","0.111556079331596","0.880475775451191","0.043493604313104","0.0637690227485869","0.218342142224793","0.379240585413745","-0.236812074739504","-3.1033469500207","0.419812070116033","-5.07182339267106","0.241326388966422"
"Mean","-0.0274731752896148","0.886955990127775","-0.0127011825632593","0.0577253888190073","0.0483099234594261","0.312011911604301","-0.317401998029671","-4.97479898220831","0.348902063646973","-6.02017842732737","0.160503289223216"
"3rd Qu.","0.401178889640027","0.900277866060904","0.145666804972039","0.275274327642178","0.361479358479701","0.570044572632877","-0.0278732021902848","-1.75880531106946","0.495475882290271","-3.37767260285821","0.413610955119771"
"Max.","0.613281481922551","0.933196712308826","0.53999852939194","0.469868771622438","0.713654271317898","0.693790626792706","0.130185112016812","-0.631279110228665","0.699541752043245","-1.46775445592963","0.722846040214057"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
