"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-0.298216848811643","0.564067818063132","0.170892150555157","0.321913595697972","-0.370141223548482","-0.103147635844209","-0.665579684579794","-1.05499595389572","0.60300908652221","-0.410968115825066","0.566149189940903"
"1st Qu.","-0.22398473947617","0.632424377666784","0.365505070552133","0.410674613384863","0.126381794939589","-0.0706212985515717","-0.485713180223839","-0.625178037033637","0.699439221370288","-0.301673693138201","0.708127811401929"
"Median","-0.212745687703172","0.652065712307398","0.479971956900045","0.443676171645254","0.336124772859336","-0.0307373328934087","-0.423768130297366","-0.0564327705209963","0.741558889194848","-0.266138943941519","0.745599530808298"
"Mean","-0.212805307877439","0.646583925516139","0.46355422938377","0.441830670451445","0.250753732025073","-0.0321922110796603","-0.441775491672267","-0.262471053536118","0.729504667566158","-0.267020418052291","0.728987033302775"
"3rd Qu.","-0.201473541737446","0.669658883510299","0.547383809981017","0.470300423714872","0.424612806999124","-0.00384285370096038","-0.380863984575173","0.0406801604117398","0.766333293429739","-0.225767762199812","0.768146828583471"
"Max.","-0.119810722811669","0.692463029996089","0.651980186577787","0.556597765238894","0.543649463732591","0.0662093127332067","-0.327234306826619","0.151730688618245","0.821340079656724","-0.166545378611683","0.809165642635414"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
