"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","0.73451290935377","0.155348765012167","-1.64340412162191","0.764375667760126","-19.7155664853312","-1.67730732785284","-0.996169722868321","-16.333130559465","-31.2426036511913","-21.6940357677916","-1.76587483310873"
"1st Qu.","0.784613608463889","0.393155606867274","-0.59056759629499","0.850226501902684","-8.07578574752295","-0.49942707064917","-0.148645954904314","-7.86970653531114","-16.914577420499","-9.37479162447103","-0.940373089949777"
"Median","0.807747296702001","0.566938128121721","-0.203891152196374","0.864984984470156","-5.81208042784497","-0.31141273760502","0.0324576211942266","-5.18811634820968","-11.2251227642182","-6.62793627702959","-0.384149960203383"
"Mean","0.804113433467381","0.504013370244358","-0.313019926096254","0.859223477449279","-6.86476844814412","-0.397531851410144","-0.0501008974061017","-5.78265997037122","-12.9888130980535","-7.23602335512082","-0.581317792158875"
"3rd Qu.","0.829894175518691","0.65313585736496","0.0196956677318168","0.886724133990151","-4.59815164864699","-0.153735134946414","0.13755905087545","-2.57004872858341","-7.09064698856808","-2.88637795181356","-0.102749592222851"
"Max.","0.880980079074423","0.709385060426584","0.228719907886244","0.908302166254915","-1.96074911577765","0.158902439235625","0.355417894462064","-0.980853522030534","-1.35284204890101","-0.746344533137163","0.0907238445662174"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
