"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-6843.71688236884","-0.0862630299549334","-19.2149720669489","-221.73537556206","-141.928508316611","-14.300682163668","-535.451308259591","-15.5467763391852","-222.678600036276","-4898.56573204342","-8.54111442309215"
"1st Qu.","-194.055769515632","0.683183257653121","-13.0090483912953","-37.7327147371147","-31.0311697520689","-5.06328947901098","-148.958519945593","-8.01788094111073","-5.72251331430673","-290.819219883554","-3.02629628312039"
"Median","-37.9063159222386","0.790025372687065","-10.8588066933735","-12.8639714557649","-21.3966491140391","-3.78577969053296","-101.419601324355","-4.73343980566437","-2.02968428242077","-112.817410090836","-1.81642425657307"
"Mean","-731.022881554561","0.727735646288547","-11.3075161975357","-35.8629614087351","-27.7604874674373","-4.40539752009777","-131.667467337362","-5.63482836782356","-39.7918798219229","-306.833867608976","-2.19402731924088"
"3rd Qu.","-14.6713197913328","0.870527609537201","-9.33640246799317","-6.19594089865583","-18.1157088105058","-2.52767313378497","-84.2354344654482","-2.10181747220295","-1.27154368621362","-8.81405978036766","-1.28314238740813"
"Max.","-4.02330336009693","0.925395266926279","-5.70774709411587","-2.43169460249865","-14.8611126116127","-1.68727994066939","-51.4596451290919","0.139805433015782","-0.341585186533617","-4.46233598800036","-0.0731899831939644"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
