"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","0.00795774131891558","0.717861074565929","-3.93768308079685","0.146912065820958","-2.80583652420497","-1.64928503973389","-0.784405761944894","-16.860937692194","-0.551382691432152","-14.1800503941818","-0.754394769285807"
"1st Qu.","0.133934952091957","0.747211929174652","-2.37953089801589","0.269504188970061","-1.94626057581083","-0.973648435798107","-0.33930113592422","-10.0747765291999","-0.282273875945901","-10.4560320093741","-0.324289568539217"
"Median","0.230580997900106","0.753891803862815","-2.02334350128741","0.330999918429485","-1.74678963973017","-0.550113150166442","-0.149149524608819","-7.72030269226677","-0.230346193839365","-9.46207570344017","-0.264948752022638"
"Mean","0.219117720396913","0.753002336357737","-2.00849610080011","0.323883222083964","-1.77295385614699","-0.606072880977681","-0.195708047294866","-7.78307251256572","-0.246317383239189","-9.11519852386331","-0.265174463765022"
"3rd Qu.","0.302249990106122","0.759213216662379","-1.6671875038121","0.384853655441744","-1.59216610528488","-0.238269836448713","-0.0634842495377124","-4.26751856940509","-0.173659288489019","-7.96192993278558","-0.164950517827112"
"Max.","0.406884403283804","0.77978418383936","-0.911804071174329","0.518923959409801","-0.665173773626586","0.18791542448523","0.13014158454255","-2.24748275990776","-0.107058813119616","-1.54946766253002","0.0593659463476238"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
