"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-0.933757838112594","0.877503795564187","0.830039133552284","-1.70487374540907","0.71552844267958","0.194872202171131","0.710447663480328","-7.48840713909075","-1.67417461704158","-0.310373943723242","0.792152723931387"
"1st Qu.","0.728202633390857","0.943401668353573","0.875539726189552","0.751086455508222","0.770100908014462","0.548902880520852","0.804762898606035","-1.00407150135043","-0.236054960062232","0.235893118244847","0.850229466094799"
"Median","0.765905179259472","0.947573045207482","0.907561283381886","0.778000949578893","0.81144257396891","0.704976627472208","0.854884580902423","0.196033057794455","0.30973365175863","0.351202958762149","0.871198237320089"
"Mean","0.477757369372981","0.93772546577833","0.902651673901218","0.309467533350877","0.802950945919297","0.634974330468071","0.837671673605815","-0.759422239239528","0.100514595558454","0.324697579083038","0.872536025329456"
"3rd Qu.","0.795331110794079","0.953070675531373","0.932513887620119","0.804233725605677","0.837299877804437","0.770458403490049","0.87415829824141","0.236766821175972","0.563777889046415","0.495650195189921","0.904079467840826"
"Max.","0.840581898304275","0.962813987685397","0.95244824606511","0.820413270408139","0.859087737127664","0.847228033715872","0.917309350371337","0.35995455077402","0.618123545394583","0.613008420904574","0.931096540488322"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
