"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-2008.61166229413","-2.35830908267434","-18.6751453491876","-53.1149402580383","-36.5980338858216","-145.748758043663","-7.72100020319206","-142.016575694896","-0.344475273106099","-47.6899683903272","-1.69080960525696"
"1st Qu.","-96.8977505962161","-0.768260775624421","-6.58987385812718","-23.6848493517012","-13.0334918997195","-41.5931094881826","-1.70722635722651","-28.7566755768588","-0.0404090502749106","-1.55468704597534","-0.288171921520801"
"Median","-43.932717583496","-0.189393977302869","-3.88474001099531","-12.9259653387985","-6.14031076808796","-16.6576223420985","-1.31694972393899","-17.0807224769391","0.201843013809775","-0.404459400049452","0.00886794472736568"
"Mean","-267.172870354516","-0.423755913262412","-4.83252559181891","-16.3488607843649","-8.90143209560646","-31.0647412494374","-1.42192781232198","-26.951135029983","0.211053521172065","-4.43709143718962","-0.103440504641966"
"3rd Qu.","-25.2378948803267","-0.0517725048843692","-1.54526637431016","-5.80455421410416","-2.24277975854185","-11.6752301426638","-0.793943063101496","-10.6871319122465","0.517932182382153","0.232967846459175","0.25635973420905"
"Max.","-1.18280579474831","0.32635498228389","0.39089344878343","-0.112516442350868","0.223770193379074","-4.57506667187663","0.154268468603955","-4.36548079213504","0.790751053583267","0.52757964642666","0.741272598670067"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
