"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-0.680515742436187","-6.87239727135392","0.344149672248833","-0.04517789338971","-0.74585022111244","-2.89989203562299","-12.1773737346151","-10.9254303204368","-0.688199585192352","-0.334519607786687","0.58771469531077"
"1st Qu.","-0.344640437211249","-5.29959737494687","0.471302937501148","0.158711131444003","0.152844540316057","0.0313140762336454","-0.142076436198435","-0.392789966928597","-0.247570893756412","0.421666470348358","0.635307776329516"
"Median","-0.226006597274806","-4.6762283065651","0.535119219019461","0.222040018754248","0.276387314873845","0.2158127630435","-0.0244179223015254","-0.177834815293014","-0.150816796826701","0.557772557621378","0.683557450354486"
"Mean","-0.259502345242125","-4.71478550023781","0.527438661003733","0.207180811334789","0.216455811919792","-0.233357563997573","-1.96056124282562","-1.64140027440843","-0.163190800972765","0.443739116432381","0.681231510531914"
"3rd Qu.","-0.127517825969126","-4.1363920494291","0.580161309463293","0.297444736047668","0.333090644957014","0.316384850036486","0.0332928346651748","-0.0759512723517457","-0.063446720279957","0.581241592938055","0.717777750638814"
"Max.","0.0114826928775426","-2.95290677137821","0.671009919602607","0.376500151935141","0.47819560022842","0.412381236250007","0.214838573076461","0.0252717760892063","0.195246506917081","0.656135168513507","0.781277399041069"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
