"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-0.184784507644771","0.714635011974837","0.430239447057792","-0.750220354927116","0.331190826122473","-0.222608536552572","-0.58188251686518","-0.344074218705974","0.695265623846945","-0.166073905067097","0.686211605719294"
"1st Qu.","-0.109118864751568","0.832563428447694","0.535320870459212","-0.670426089309135","0.617835924053999","-0.0885943657487994","-0.429947585358604","-0.0674573947025902","0.757186952215562","-0.0503338575645469","0.832043460135044"
"Median","-0.0792684921526735","0.851499749166869","0.590048624830808","-0.588438723279472","0.687689474232968","-0.0625348630618867","-0.336443602333245","0.0134253404289963","0.787971890149366","-0.0411713403836057","0.854859043308641"
"Mean","-0.0812382990165812","0.846511616602603","0.581086927980443","-0.575114020748016","0.645923980082665","-0.0443918515979332","-0.349046793332817","0.00383608707814013","0.779269834720068","-0.0438336926705454","0.848551133554066"
"3rd Qu.","-0.0445019758892599","0.870628942890455","0.649913041581304","-0.50636936106935","0.739925869735824","0.0110324160674635","-0.26854660328218","0.132009798754691","0.802780008691266","-0.0293038696641797","0.878229809703588"
"Max.","-0.00582469112752015","0.894844440729574","0.694091696664918","-0.318040272654682","0.809969868780255","0.219149675132362","-0.140566371020566","0.338938828327796","0.849282166449623","-0.0138512689557855","0.91146622775844"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
