"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","0.356433133954124","0.788579762272939","-0.140440432451163","0.429654635298785","-1.33932726981211","0.469474425424273","-0.383125738277318","-0.841582878765993","0.430605670948723","-0.0620412651393474","0.898504153290054"
"1st Qu.","0.418508291695244","0.880071603758046","0.568618066615532","0.491570546086166","-0.830653201914623","0.613406675906596","-0.00301511144783351","0.0682359497803018","0.564425642465832","0.139519071637251","0.927031634763493"
"Median","0.469497237310664","0.912587335970437","0.631657460511437","0.544208861994691","-0.70216482325609","0.660602445079537","0.125290362126498","0.173636594388597","0.59874868260663","0.220938201681197","0.940463868361916"
"Mean","0.482824468743576","0.903417412960732","0.60127819935255","0.53461079506468","-0.712073242627053","0.647480198589398","0.0729347512844522","0.135987705962802","0.595453268209353","0.205623009750666","0.936629210916273"
"3rd Qu.","0.54615971943554","0.931239830869145","0.721420709283388","0.573155586650689","-0.534644392816951","0.694138816254029","0.161391916857113","0.258686281675637","0.646039532424633","0.285375213664967","0.948967835945715"
"Max.","0.614702969505048","0.948674911530567","0.785459339837267","0.671460983587405","-0.385374889051137","0.744489193062601","0.324300178605181","0.415420531192317","0.710183995844762","0.418998504474021","0.958040472567078"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
