"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-1.56621302046991","-5.12137838687814","-39.1386235412051","-1.0124852742545","-34.6644366077771","-5.83760102902896","-14.6706968941351","-10.0692590257504","-30.4799833109906","-152.8012218313","-6.23034573762537"
"1st Qu.","-1.4575999017267","-4.93141128506208","-36.2482836902231","-0.97086179048668","-26.0449779755942","-4.31687209283369","-12.3608463567793","-9.06240205377179","-25.6906257593039","-121.647778464575","-5.62039891098643"
"Median","-1.42252344096875","-4.89085935640656","-35.1273137747134","-0.945983490634833","-23.2763259948314","-3.71355220806714","-11.4882414094968","-8.27744377997541","-23.0779554305241","-111.074591682825","-5.13756144633751"
"Mean","-1.42725870240542","-4.88071617935669","-35.0566506138378","-0.941452745805241","-24.486000664534","-3.8431838403517","-11.5428575054149","-8.38944245188057","-23.113208854063","-113.127353643555","-5.27103749558216"
"3rd Qu.","-1.3945278139792","-4.80598072289815","-33.70861916545","-0.919310149807343","-21.7284524516294","-3.30322632961007","-10.7158039084505","-7.77791437395254","-21.4607495052465","-104.485824328542","-4.93983438219267"
"Max.","-1.3318973898048","-4.70544358170373","-30.9982426043751","-0.856030775006821","-19.1955922359276","-2.22958401160395","-9.25729800757888","-6.93089733468257","-16.5297814426641","-89.5551254580883","-4.67164367724133"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
