"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","0.819847607252383","0.891373718888112","0.898990338226782","0.871327183307732","0.598018005061863","0.865611868351551","0.799068157348299","0.849924766895021","0.726424805951382","0.451714181340782","0.85269025473833"
"1st Qu.","0.82442351418121","0.892011780921175","0.903609047339742","0.874122659343098","0.605380993364447","0.871131072384014","0.80507749181099","0.858007374626981","0.732536188673835","0.493905903730723","0.862433217047582"
"Median","0.825760462126086","0.892242118542078","0.905174232866597","0.875173704743328","0.613124441317572","0.873050002386815","0.808135549572066","0.859125607518067","0.739542489774822","0.506137692950364","0.86404959648026"
"Mean","0.82570781350898","0.892447125070653","0.905138872391844","0.874930645321493","0.612631609398594","0.873276436704255","0.808049502152522","0.859608622056779","0.737891644447123","0.511389326433571","0.864023484824812"
"3rd Qu.","0.826965992262088","0.892646900577589","0.906693052762287","0.87601221137835","0.618258100951901","0.876294175741961","0.810441844026634","0.861746231524295","0.741093182310276","0.523790645466969","0.86664961264311"
"Max.","0.829972927434396","0.894071714519615","0.909897273959907","0.876908845236236","0.628793574198505","0.882365648702394","0.819557060848663","0.872829996891998","0.757546481365379","0.56600061644457","0.869573269153892"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
