"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-0.414591923784875","0.941673995088426","-0.213398350652748","-0.138471324505403","-0.693504361481103","-1.93788540341924","-0.0450885654302047","0.0998365091531752","-0.715970550093845","-1.11040744223101","-1.72691866230179"
"1st Qu.","-0.34256891523423","0.959308189984995","0.107128408569518","-0.0947703807212593","-0.0208192281302191","-1.1563343738539","0.1278689580027","0.302398509022261","-0.491129911350396","-0.877781136895932","-1.14672156981788"
"Median","-0.31639910378881","0.962303367982807","0.228323345027913","-0.0841660159582359","0.0707151423483392","-0.984946247211173","0.209534991694094","0.376339790843412","-0.340374235345227","-0.730482465603713","-1.00950238418411"
"Mean","-0.32312835552732","0.963521591649715","0.1908091388872","-0.08028647750347","-0.00638898713022755","-1.00707289218042","0.18418464603399","0.38091756828541","-0.378060269756662","-0.740261155483954","-1.01137598891726"
"3rd Qu.","-0.299570918746703","0.971484865255168","0.310787112955093","-0.0639585470806249","0.149589112884195","-0.848351372162534","0.253563254362694","0.481015876762358","-0.261270906728291","-0.5899828981602","-0.817417331283381"
"Max.","-0.277868761213108","0.975370587226374","0.455286870792252","-0.0348333214717813","0.348367603838912","-0.571291769575701","0.3350903546562","0.576641306864163","-0.117350066988421","-0.449264118414445","-0.57659445990911"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
