"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-5.13102611409199","-1.06190800644151","-70.1800609314001","-6.53318618357371","-297.256584787828","-3.58640720215077","-53.088138983704","-4.2153174287411","-121.38071848408","-14584.911908425","-23.5616992464033"
"1st Qu.","-3.58597442301013","-0.461298139669902","-19.3288367614461","-4.80001060500098","-160.3156389434","-0.261341530936128","-13.8332108538308","-2.48299067083269","-77.2078071403051","-5397.12052145652","-15.6099817401111"
"Median","-2.95577924892409","-0.249748225970789","-15.4127325947081","-3.74992762832625","-141.154176437893","0.777038898043295","-11.5138536500722","-1.20231727612386","-65.3201474732573","-3236.04057399534","-11.3562780501241"
"Mean","-2.87762507611563","-0.295480289222905","-19.3041472716877","-3.8653036932759","-144.031803580323","0.259838658745039","-14.5756610094665","-1.73807618722631","-64.382287387086","-4375.07184821191","-11.841164942003"
"3rd Qu.","-1.95725821426635","-0.115766816218439","-13.4859578806761","-2.82843761456233","-121.999781337979","0.891118664842732","-9.14674127385483","-0.848715513688835","-47.35823243801","-2591.59772484539","-8.79767018164641"
"Max.","-0.98177968503712","0.120221855908313","-6.67253057111735","-1.74601686655889","-83.0725441559166","0.954513398875372","-5.3653679294365","-0.16835602807266","-25.1862863087016","-1393.85066388162","-3.92175195845343"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
