"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","0.811931465723131","0.558797404346077","0.0201222328158491","0.817883711326486","-3.6382966104696","0.0622584368197908","0.1898954762596","-4.39425599957131","-46.9258285562943","-5.06198422378387","-0.0727416708847513"
"1st Qu.","0.861206203119059","0.766804830646951","0.344047923989938","0.879978432654869","-2.58217732258995","0.470448965315776","0.573764364205352","-1.98746057763219","-11.5886794939827","-3.89336372469095","0.204618007016185"
"Median","0.897716094493834","0.794954028254424","0.587620443668331","0.914634335392564","-1.48300116192923","0.669437233719107","0.664819245450559","-0.804329715031418","-4.57561553070151","-0.792722889486641","0.385702537142814"
"Mean","0.883375664173593","0.773333375637433","0.509762089081833","0.900197659484531","-1.84985040857868","0.564135831106212","0.605773872783929","-1.27424844749644","-8.91198962399741","-2.03051771833603","0.34349645335265"
"3rd Qu.","0.911582815865067","0.825707135809905","0.674769082232317","0.925484777890358","-1.20812390401906","0.738264555872356","0.709725597025166","-0.139808405211172","-1.9322863743224","-0.340771021296953","0.479346521779454"
"Max.","0.922161472633367","0.838247156044589","0.845084111150806","0.946341121796156","-0.42809114617129","0.776349045862561","0.822006315065662","0.406971371507615","-0.468872372489923","0.169644016156874","0.685635092824492"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
