"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-0.378966452125641","0.43892010471475","-0.123981451756891","-0.155373927135375","-5.47646726949641","-0.968124036886312","-2.68002040357847","-3.22052251041574","-5.53692634803963","-15.9111596659738","-0.639367773371595"
"1st Qu.","-0.0909740663753006","0.55766807872366","0.115833556458142","0.11700331095906","-3.54574855264249","-0.556948195998284","-0.917826665254981","-1.04659285172766","-2.52632633240419","-7.36987163977416","-0.377233393869645"
"Median","0.0787490506907996","0.669322410199567","0.22232875537105","0.268363269455091","-2.95465346420331","-0.30455934769035","-0.687630485510698","-0.554452420151631","-2.18658981110633","-5.00358930947075","-0.257243205080057"
"Mean","0.0562627774540603","0.627709022895947","0.192503424951465","0.248659466059661","-2.89206431906319","-0.303842609707872","-0.762078271521861","-0.857926663491526","-2.2292301895725","-6.22042307511325","-0.249930757052355"
"3rd Qu.","0.20666836507012","0.6873765188377","0.267947390730672","0.418398071885322","-1.7891432328078","-0.0686088357282827","-0.378873123676486","-0.0888690350210901","-1.26020759362392","-3.62041767182138","-0.112381510941649"
"Max.","0.371761923447544","0.797664371486913","0.417317905617502","0.629719988720748","-1.2554034659973","0.320846906191765","-0.0671239206431462","0.352508085611432","-0.861341013811205","-0.47887458228909","0.153527956268587"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
