"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-0.888191036736563","0.210206964249249","-0.109529739836008","-0.155442957635522","-3.99984442845714","-0.431905506856298","-1.52894533694526","-9.56967337972694","-3.03158927197776","-23.2466770279012","-0.950418915595866"
"1st Qu.","-0.104809815892135","0.525412088732537","0.45571470748617","0.347609643882956","-2.12628188046337","0.0521411438604684","-0.547074405202193","0.147968693701497","-1.39707143569968","-3.80231789485995","0.0425675905914042"
"Median","0.218696623646109","0.668554256506177","0.62465089505116","0.55932178369352","-0.719263802278658","0.406551428027547","-0.104008013639593","0.589725984466653","-0.639716996504214","-1.83487484765097","0.38464553921419"
"Mean","0.128827214174779","0.632475065700491","0.550860984495583","0.48970958301902","-1.25101520298012","0.304322234305193","-0.234303412333579","-0.0571545033869902","-0.879266553127275","-3.77293533754619","0.260936103134325"
"3rd Qu.","0.419963863997486","0.786544598025281","0.774096055789783","0.63464315830833","-0.18257225862403","0.610629060460164","0.107809888378397","0.669870079022372","-0.353936153492914","-0.809700663303937","0.539635818006304"
"Max.","0.83339653815765","0.91419113352569","0.8516367614669","0.872054332001175","0.424013060647873","0.811370457490174","0.671225988157417","0.884435599156081","0.236615853812986","0.089381828809539","0.714905309767426"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
