"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-2.01259738915392","-5.94859503758487","-1.26221090042384","-0.890400695550281","-8.95389402134503","-2.53364497987479","-3.59172462632081","-58.5256475490447","-2.8132651432346","-43.4525077341008","-1.81987183322753"
"1st Qu.","-0.0685010806583566","0.267233553781287","0.314261224293756","0.367555635579572","-2.31892508579741","0.165975215600598","-0.17007258696491","-1.45344582851638","-1.0112457624125","-7.09395630235037","-0.380248357938783"
"Median","0.283478341090795","0.695932085872531","0.50874039481769","0.578851533000369","-0.703002613441237","0.421329845610414","0.114478092299821","0.0240952076867716","-0.138124321327934","-2.89624805499765","0.181829867302171"
"Mean","0.212447146078281","0.249131790843938","0.321166638037511","0.470567605151786","-1.49976262086749","0.276013888380531","8.91231979155111e-05","-2.08398254732629","-0.428182944313177","-6.21045299370545","0.0440720979399804"
"3rd Qu.","0.663932798536668","0.803023970862397","0.625297679223442","0.759015117813214","-0.0540206626079146","0.652423748679998","0.479627708453178","0.715923826376447","0.195964477631616","-1.52131862087394","0.613435837644784"
"Max.","0.812810891946155","0.915712577426685","0.916249528683972","0.953581623361565","0.534838400895993","0.824542110409984","0.873922523274677","0.944227299698013","0.640713344354878","0.236356477266296","0.912277100248987"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
