"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-5.52509563564907","0.533669560049027","-0.19010911962154","-5.05921964129762","-2.49187720503192","0.487143852809547","0.142852298444326","-5.54145448560104","-17.7494998969301","-10.7097808956353","0.322177594834745"
"1st Qu.","-4.16567037802661","0.578181410113916","-0.0932118623949447","-4.46034168001759","-1.83172020320584","0.496030373064931","0.221467719017374","-4.21287766404524","-15.9550839076842","-8.14810601365188","0.372778561613108"
"Median","-3.67420424364566","0.608336046965883","-0.0400680123429373","-3.49356260472606","-1.71977348791743","0.506288920899524","0.234698273956565","-3.83356177685412","-13.6442310081081","-6.66288622268537","0.405251989814052"
"Mean","-3.87634823310743","0.602648053180664","-0.0500203272194464","-3.80932036365574","-1.67529543558474","0.512545680426535","0.238141639350032","-3.89302242697433","-13.7276276984429","-7.41932403848669","0.4013114304144"
"3rd Qu.","-3.45787463627505","0.627346883840037","-0.00710559454282389","-3.33883638989365","-1.42149594012949","0.519620277709362","0.250889720807874","-3.64668327117763","-12.4944714359274","-6.35190470311746","0.435849317568265"
"Max.","-3.15054459903479","0.663428028342069","0.092932278848607","-3.06624550518503","-1.14477092671613","0.576509854158037","0.314380141895586","-2.81262101371186","-7.33427453214291","-5.33873468903633","0.463723330173143"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
