"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-3.90805512635513","0.590520591121691","0.0595213592730494","-3.60407291569596","-1.55377673444095","0.0983801301086122","0.314324279205258","0.479170917472055","-53.9673052153813","-9.48958328373528","0.652601280692657"
"1st Qu.","-3.23795071833667","0.791272217150458","0.32715203478792","-2.02020802703729","-0.442639270120487","0.338650540701827","0.51192537272069","0.612399139599629","-0.546105937946155","-0.721017033171566","0.791451582515871"
"Median","-2.70987277549004","0.859065524106734","0.379273658504466","-1.72156988718143","0.0648079192986364","0.481933524856019","0.59543701386793","0.685615289975671","-0.320360201514364","0.0490441909400749","0.805753499076781"
"Mean","-2.85663777506164","0.834005766566849","0.391768777736951","-1.78809663951462","-0.192618958157284","0.478770139733974","0.560843669868808","0.682414338317562","-9.88958036684154","-0.920793798162306","0.807822657586261"
"3rd Qu.","-2.41623120675802","0.89250547093063","0.486828407096646","-1.29957204672292","0.185643723177463","0.621601648758528","0.631882391771397","0.768498956761656","-0.0826524402774504","0.260892494302114","0.853913273416595"
"Max.","-1.82290086662809","0.914140902914051","0.594940195255142","-0.953658761408485","0.370417931325829","0.751454641747086","0.742262733765599","0.836897725915594","0.10619283531342","0.358901574611959","0.903534916927216"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
