"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","-3.27626985464698","0.56334161911524","-0.580111603748533","-3.0914836414495","-5.09777360556889","0.454177376613609","0.38801771035005","-11.5918740742388","-28.5417536524503","-9.89222974201446","0.284984371767425"
"1st Qu.","-0.871779865995745","0.607881951349091","-0.147341284213886","-0.637149539338246","-3.16906441308738","0.491964605175907","0.50284969090996","-5.95622555139742","-18.6083268907761","-6.40892039673613","0.356823184268433"
"Median","-0.511818394269853","0.634806760809848","-0.0354883438597291","-0.159696663216303","-2.81427459765401","0.517672624118108","0.547551209908164","-5.04482933372162","-14.360829567699","-4.84243941499983","0.381234396891026"
"Mean","-0.698337655767988","0.629322045399518","-0.0595461655777089","-0.477099970591331","-2.84534541868831","0.518328239762249","0.537296530351634","-5.21086084662704","-14.4491867400668","-4.89697976951306","0.387948260120523"
"3rd Qu.","-0.241042892006292","0.654745169470156","0.0973499419924179","0.0412807295101165","-2.36711822029116","0.531926163949841","0.572923631288352","-3.37096000727397","-8.9424452928676","-3.33248551397596","0.423856316651236"
"Max.","0.00512377414260057","0.694869893846766","0.185864617254074","0.239242672352383","-1.02952279355988","0.624952443520669","0.676938322610443","-2.42301639428848","-2.16100347228962","-1.1139294398333","0.500943651529157"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
