"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","0.0613429130161434","0.717326791197125","-2.48407206841066","0.260478321486271","-2.93591440338887","-1.31652909806025","-0.301858245757591","-9.43709248627338","-0.335492092862483","-13.0787485661509","-0.364277478759566"
"1st Qu.","0.238732704240428","0.738526162569227","-1.16601995778977","0.33715397663259","-1.81984717768707","-0.335304090345309","-0.146759995255947","-6.88645417805078","-0.201895159083054","-9.95595636347245","-0.23806467513702"
"Median","0.301287058967949","0.747005934964479","-0.871191837915219","0.387175824850567","-1.57868368466031","-0.0540134597671823","-0.0514799255337315","-4.17834257011778","-0.134698255780369","-8.9523355408011","-0.149415155081408"
"Mean","0.290248013438271","0.749598248333236","-0.963167805636381","0.399640993241848","-1.57473177725911","-0.156875553097299","-0.0416221737342673","-4.73213750633305","-0.150904570307583","-8.38163954829339","-0.141418945009933"
"3rd Qu.","0.351071157859025","0.761346858844163","-0.626612011818712","0.458591612581258","-1.2633404431131","0.0766401393476611","0.0532755560478724","-2.77214770917418","-0.105838995451195","-7.14527220368072","-0.0543335802940771"
"Max.","0.428015308722727","0.774588714373368","-0.364742953267446","0.593093620208635","-0.791396999769931","0.317990304195867","0.234891467361138","-0.84681240573033","-0.0261427343673362","-1.19593213171533","0.0774127720295448"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
