"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","0.184367230029361","0.599991569881728","0.0704261051562459","0.324531170237649","-4.17376735378122","0.478799885798514","0.535827217766761","-7.87979145029297","-25.4595692010472","-6.81799723547141","0.326448573495098"
"1st Qu.","0.311378954504171","0.648321004655745","0.279713029738866","0.488909784328367","-3.08459044666148","0.518363413065722","0.571671751039614","-4.82207858572732","-17.7233231235685","-4.29125621458983","0.382035031995381"
"Median","0.360005381143153","0.671111859739536","0.313148824813257","0.542962176982515","-2.77186735881361","0.531726270040913","0.592839792076466","-4.69145790776101","-12.3448906201941","-2.77735563343789","0.396664940072556"
"Mean","0.354758705391117","0.671203822317658","0.315534557022055","0.535194589804536","-2.89164883990144","0.538400960410481","0.606919241309086","-4.42457970731108","-12.5586671903488","-3.13215909653923","0.400671438054619"
"3rd Qu.","0.423320037099933","0.701193049286714","0.373447682786243","0.566457428749666","-2.59218628864783","0.561265784816306","0.642734787453656","-3.40114287886662","-7.27975555002316","-2.08745528239726","0.423312825330723"
"Max.","0.473049926267223","0.735446277537369","0.438775883911314","0.672366497226846","-1.91423936504779","0.617697389686339","0.747356170979663","-2.41067528644122","-1.58628535431881","-0.766419131664311","0.479984128641132"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
