"","Cl","NO3","SO4","Na","K","Mg","Ca","NH4","DON","PO4","DOC"
"Min.","0.666782635657883","0.817079975190292","0.733708233291139","0.762109545127509","-0.0614074476454212","0.678522430615805","0.530755125802689","0.363062111407527","0.439475043169835","-1.20000787740249","0.606838429294698"
"1st Qu.","0.723221412409609","0.85338641749417","0.789689388204471","0.797459274446475","0.268992567480583","0.754824971297427","0.631727801912637","0.675738019554309","0.520446137151929","0.00818490049298992","0.701267903777716"
"Median","0.749232079465314","0.859701268515246","0.807587276401006","0.817608498232365","0.338322975258443","0.783593742383957","0.662273353956262","0.708464965569647","0.55566126911471","0.134117523139368","0.737214357837033"
"Mean","0.74374553378955","0.858350197493207","0.807970523569504","0.815067010448301","0.331541140784697","0.772216267250286","0.655577666415298","0.701659415854145","0.546551480824647","-0.0115760154885113","0.733815305796463"
"3rd Qu.","0.767645323491587","0.865253144016836","0.8317301574221","0.833039973130298","0.409290534679936","0.794661461719081","0.695801755959889","0.775814946685258","0.571913708447288","0.289244741787541","0.776020865005191"
"Max.","0.799190946838257","0.875554492387469","0.860059900651603","0.856218165104053","0.554933945976268","0.825655508264223","0.755136854252652","0.81782878580234","0.66628547212939","0.416040634954015","0.817128732172106"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
